ott_id,Group,Family,unique_name
5338101,Amphibs,Allophrynidae,Allophryne relicta
386452,Amphibs,Allophrynidae,Allophryne resplendens
578648,Amphibs,Allophrynidae,Allophryne ruthveni
331716,Amphibs,Alsodidae,Alsodes australis
623494,Amphibs,Alsodidae,Alsodes barrioi
6158612,Amphibs,Alsodidae,Alsodes cantillanensis
591216,Amphibs,Alsodidae,Alsodes coppingeri
570086,Amphibs,Alsodidae,Alsodes gargola
591207,Amphibs,Alsodidae,Alsodes hugoi
591205,Amphibs,Alsodidae,Alsodes igneus
906284,Amphibs,Alsodidae,Alsodes kaweshkari
3620289,Amphibs,Alsodidae,Alsodes montanus
413978,Amphibs,Alsodidae,Alsodes monticola
65695,Amphibs,Alsodidae,Alsodes neuquensis
105710,Amphibs,Alsodidae,Alsodes nodosus
591209,Amphibs,Alsodidae,Alsodes norae
591228,Amphibs,Alsodidae,Alsodes pehuenche
1015367,Amphibs,Alsodidae,Alsodes tumultuosus
414565,Amphibs,Alsodidae,Alsodes valdiviensis
906286,Amphibs,Alsodidae,Alsodes vanzolinii
906290,Amphibs,Alsodidae,Alsodes verrucosus
3620290,Amphibs,Alsodidae,Alsodes vittatus
688151,Amphibs,Alsodidae,Eupsophus altor
519521,Amphibs,Alsodidae,Eupsophus calcaratus
387966,Amphibs,Alsodidae,Eupsophus contulmoensis
387968,Amphibs,Alsodidae,Eupsophus emiliopugini
1082905,Amphibs,Alsodidae,Eupsophus insularis
913528,Amphibs,Alsodidae,Eupsophus migueli
438282,Amphibs,Alsodidae,Eupsophus nahuelbutensis
438284,Amphibs,Alsodidae,Eupsophus roseus
414569,Amphibs,Alsodidae,Eupsophus septentrionalis
438280,Amphibs,Alsodidae,Eupsophus vertebralis
914514,Amphibs,Alsodidae,Limnomedusa macroglossa
385874,Amphibs,Alytidae,Alytes cisternasii
558315,Amphibs,Alytidae,Alytes dickhilleni
384725,Amphibs,Alytidae,Alytes maurus
461376,Amphibs,Alytidae,Alytes muletensis
118036,Amphibs,Alytidae,Alytes obstetricans
461369,Amphibs,Alytidae,Discoglossus galganoi
703767,Amphibs,Alytidae,Discoglossus jeanneae
233448,Amphibs,Alytidae,Discoglossus montalentii
465082,Amphibs,Alytidae,Discoglossus pictus
233470,Amphibs,Alytidae,Discoglossus sardus
698730,Amphibs,Alytidae,Discoglossus scovazzi
3617970,Amphibs,Alytidae,Latonia nigriventer
3620641,Amphibs,Ambystomatidae,Ambystoma altamirani
412672,Amphibs,Ambystomatidae,Ambystoma amblycephalum
51835,Amphibs,Ambystomatidae,Ambystoma andersoni
287733,Amphibs,Ambystomatidae,Ambystoma annulatum
673516,Amphibs,Ambystomatidae,Ambystoma barbouri
1062608,Amphibs,Ambystomatidae,Ambystoma bishopi
3620640,Amphibs,Ambystomatidae,Ambystoma bombypellum
412680,Amphibs,Ambystomatidae,Ambystoma californiense
412661,Amphibs,Ambystomatidae,Ambystoma cingulatum
51838,Amphibs,Ambystomatidae,Ambystoma dumerilii
675666,Amphibs,Ambystomatidae,Ambystoma flavipiperatum
9245,Amphibs,Ambystomatidae,Ambystoma gracile
675674,Amphibs,Ambystomatidae,Ambystoma granulosum
411269,Amphibs,Ambystomatidae,Ambystoma jeffersonianum
984729,Amphibs,Ambystomatidae,Ambystoma laterale
3620643,Amphibs,Ambystomatidae,Ambystoma leorae
675670,Amphibs,Ambystomatidae,Ambystoma lermaense
938346,Amphibs,Ambystomatidae,Ambystoma mabeei
938349,Amphibs,Ambystomatidae,Ambystoma macrodactylum
1088156,Amphibs,Ambystomatidae,Ambystoma maculatum
3620644,Amphibs,Ambystomatidae,Ambystoma mavortium
984726,Amphibs,Ambystomatidae,Ambystoma mexicanum
938355,Amphibs,Ambystomatidae,Ambystoma opacum
734930,Amphibs,Ambystomatidae,Ambystoma ordinarium
675687,Amphibs,Ambystomatidae,Ambystoma rivulare
135598,Amphibs,Ambystomatidae,Ambystoma rosaceum
3620645,Amphibs,Ambystomatidae,Ambystoma silvense
3620646,Amphibs,Ambystomatidae,Ambystoma subsalsum
1092549,Amphibs,Ambystomatidae,Ambystoma talpoideum
675692,Amphibs,Ambystomatidae,Ambystoma taylori
1092555,Amphibs,Ambystomatidae,Ambystoma texanum
1092552,Amphibs,Ambystomatidae,Ambystoma tigrinum
412658,Amphibs,Ambystomatidae,Ambystoma velasci
460054,Amphibs,Ambystomatidae,Dicamptodon aterrimus
66173,Amphibs,Ambystomatidae,Dicamptodon copei
60823,Amphibs,Ambystomatidae,Dicamptodon ensatus
445407,Amphibs,Ambystomatidae,Dicamptodon tenebrosus
566026,Amphibs,Amphiumidae,Amphiuma means
401988,Amphibs,Amphiumidae,Amphiuma pholeter
566034,Amphibs,Amphiumidae,Amphiuma tridactylum
3619367,Amphibs,Aromobatidae,Allobates alessandroi
584751,Amphibs,Aromobatidae,Allobates algorei
7665932,Amphibs,Aromobatidae,Allobates amissibilis
3619360,Amphibs,Aromobatidae,Allobates bromelicola
7245,Amphibs,Aromobatidae,Allobates brunneus
7252,Amphibs,Aromobatidae,Allobates caeruleodactylus
7070022,Amphibs,Aromobatidae,Allobates carajas
3619356,Amphibs,Aromobatidae,Allobates caribe
3619358,Amphibs,Aromobatidae,Allobates cepedai
3619362,Amphibs,Aromobatidae,Allobates chalcopis
44101,Amphibs,Aromobatidae,Allobates conspicuus
3619369,Amphibs,Aromobatidae,Allobates crombiei
171309,Amphibs,Aromobatidae,Allobates femoralis
6158689,Amphibs,Aromobatidae,Allobates flaviventris
3619353,Amphibs,Aromobatidae,Allobates fratisenescus
3619352,Amphibs,Aromobatidae,Allobates fuscellus
198078,Amphibs,Aromobatidae,Allobates gasconi
3619348,Amphibs,Aromobatidae,Allobates goianus
1059135,Amphibs,Aromobatidae,Allobates granti
5338103,Amphibs,Aromobatidae,Allobates grillisimilis
1026296,Amphibs,Aromobatidae,Allobates hodli
197964,Amphibs,Aromobatidae,Allobates humilis
6158690,Amphibs,Aromobatidae,Allobates ignotus
937897,Amphibs,Aromobatidae,Allobates insperatus
7070023,Amphibs,Aromobatidae,Allobates juami
198074,Amphibs,Aromobatidae,Allobates juanii
989112,Amphibs,Aromobatidae,Allobates kingsburyi
3619371,Amphibs,Aromobatidae,Allobates mandelorum
192986,Amphibs,Aromobatidae,Allobates marchesianus
403638,Amphibs,Aromobatidae,Allobates masniger
3619350,Amphibs,Aromobatidae,Allobates mcdiarmidi
3619370,Amphibs,Aromobatidae,Allobates melanolaemus
3619368,Amphibs,Aromobatidae,Allobates myersi
198057,Amphibs,Aromobatidae,Allobates nidicola
3619359,Amphibs,Aromobatidae,Allobates niputidea
7070024,Amphibs,Aromobatidae,Allobates nunciatus
7070025,Amphibs,Aromobatidae,Allobates olfersioides
31560,Amphibs,Aromobatidae,Allobates ornatus
