ott_id,Group,Family,unique_name
1085740,Birds,Acanthisittidae,Acanthisitta chloris
3599127,Birds,Acanthisittidae,Xenicus gilviventris
736620,Birds,Acanthizidae,Acanthiza apicalis
808269,Birds,Acanthizidae,Acanthiza chrysorrhoa
6153071,Birds,Acanthizidae,Acanthiza cinerea
736622,Birds,Acanthizidae,Acanthiza ewingii
736610,Birds,Acanthizidae,Acanthiza inornata
736612,Birds,Acanthizidae,Acanthiza iredalei
161779,Birds,Acanthizidae,Acanthiza katherina
161777,Birds,Acanthizidae,Acanthiza lineata
32480,Birds,Acanthizidae,Acanthiza murina
161775,Birds,Acanthizidae,Acanthiza nana
161773,Birds,Acanthizidae,Acanthiza pusilla
161784,Birds,Acanthizidae,Acanthiza reguloides
161781,Birds,Acanthizidae,Acanthiza robustirostris
161770,Birds,Acanthizidae,Acanthiza uropygialis
201676,Birds,Acanthizidae,Acanthornis magna
918681,Birds,Acanthizidae,Aphelocephala leucopsis
839544,Birds,Acanthizidae,Aphelocephala nigricincta
3599283,Birds,Acanthizidae,Aphelocephala pectoralis
839541,Birds,Acanthizidae,Calamanthus campestris
264923,Birds,Acanthizidae,Calamanthus cautus
315047,Birds,Acanthizidae,Calamanthus fuliginosus
3599030,Birds,Acanthizidae,Calamanthus montanellus
827153,Birds,Acanthizidae,Calamanthus pyrrhopygius
3599035,Birds,Acanthizidae,Origma murina
3599034,Birds,Acanthizidae,Aethomyias nigrorufus
830250,Birds,Acanthizidae,Origma robusta
3599036,Birds,Acanthizidae,Gerygone albofrontata
677564,Birds,Acanthizidae,Gerygone chloronota
109309,Birds,Acanthizidae,Gerygone chrysogaster
3599037,Birds,Acanthizidae,Gerygone dorsalis
547223,Birds,Acanthizidae,Gerygone flavolateralis
918678,Birds,Acanthizidae,Gerygone fusca
3599038,Birds,Acanthizidae,Gerygone hypoxantha
452023,Birds,Acanthizidae,Gerygone igata
677555,Birds,Acanthizidae,Gerygone inornata
315041,Birds,Acanthizidae,Gerygone levigaster
315044,Birds,Acanthizidae,Gerygone magnirostris
297070,Birds,Acanthizidae,Gerygone modesta
32490,Birds,Acanthizidae,Gerygone mouki
32484,Birds,Acanthizidae,Gerygone olivacea
315057,Birds,Acanthizidae,Gerygone palpebrosa
677543,Birds,Acanthizidae,Gerygone ruficollis
658847,Birds,Acanthizidae,Gerygone sulphurea
767231,Birds,Acanthizidae,Gerygone tenebrosa
935199,Birds,Acanthizidae,Oreoscopus gutturalis
827145,Birds,Acanthizidae,Origma solitaria
255826,Birds,Acanthizidae,Pachycare flavogriseum
827157,Birds,Acanthizidae,Pycnoptilus floccosus
827160,Birds,Acanthizidae,Pyrrholaemus brunneus
201669,Birds,Acanthizidae,Pyrrholaemus sagittata
3599287,Birds,Acanthizidae,Aethomyias arfakianus
3599288,Birds,Acanthizidae,Sericornis beccarii
488739,Birds,Acanthizidae,Neosericornis citreogularis
144077,Birds,Acanthizidae,Sericornis frontalis
45236,Birds,Acanthizidae,Sericornis humilis
488737,Birds,Acanthizidae,Sericornis keri
1093552,Birds,Acanthizidae,Sericornis magnirostra
45224,Birds,Acanthizidae,Sericornis nouhuysi
45221,Birds,Acanthizidae,Aethomyias papuensis
109310,Birds,Acanthizidae,Sericornis perspicillatus
3599284,Birds,Acanthizidae,Sericornis rufescens
3599286,Birds,Acanthizidae,Aethomyias spilodera
918675,Birds,Acanthizidae,Smicrornis brevirostris
3596226,Birds,Accipitridae,Accipiter albogularis
193714,Birds,Accipitridae,Accipiter badius
901450,Birds,Accipitridae,Accipiter bicolor
3596217,Birds,Accipitridae,Accipiter brachyurus
767922,Birds,Accipitridae,Accipiter brevipes
3596222,Birds,Accipitridae,Accipiter butleri
61111,Birds,Accipitridae,Accipiter castanilius
911751,Birds,Accipitridae,Accipiter cirrocephalus
3596223,Birds,Accipitridae,Accipiter collaris
764598,Birds,Accipitridae,Accipiter cooperii
3596206,Birds,Accipitridae,Accipiter erythrauchen
767919,Birds,Accipitridae,Accipiter erythropus
3596212,Birds,Accipitridae,Accipiter fasciatus
767916,Birds,Accipitridae,Accipiter francesiae
786433,Birds,Accipitridae,Accipiter gentilis
3596225,Birds,Accipitridae,Accipiter griseiceps
1075021,Birds,Accipitridae,Accipiter gularis
229516,Birds,Accipitridae,Accipiter gundlachi
3596216,Birds,Accipitridae,Accipiter haplochrous
3596209,Birds,Accipitridae,Accipiter henicogrammus
767915,Birds,Accipitridae,Accipiter henstii
3596219,Birds,Accipitridae,Accipiter hiogaster
767913,Birds,Accipitridae,Accipiter imitator
3596220,Birds,Accipitridae,Accipiter luteoschistaceus
1082981,Birds,Accipitridae,Accipiter madagascariensis
767914,Birds,Accipitridae,Accipiter melanochlamys
818179,Birds,Accipitridae,Accipiter melanoleucus
3596208,Birds,Accipitridae,Accipiter meyerianus
1082979,Birds,Accipitridae,Accipiter minullus
3596227,Birds,Accipitridae,Accipiter nanus
238460,Birds,Accipitridae,Accipiter nisus
818180,Birds,Accipitridae,Accipiter novaehollandiae
818178,Birds,Accipitridae,Accipiter ovampensis
3596210,Birds,Accipitridae,Accipiter poliocephalus
818182,Birds,Accipitridae,Accipiter poliogaster
3596218,Birds,Accipitridae,Accipiter princeps
3596215,Birds,Accipitridae,Accipiter rhodogaster
3596213,Birds,Accipitridae,Accipiter rufitorques
153276,Birds,Accipitridae,Accipiter rufiventris
818181,Birds,Accipitridae,Accipiter soloensis
1015194,Birds,Accipitridae,Accipiter striatus
1036189,Birds,Accipitridae,Accipiter superciliosus
7658505,Birds,Accipitridae,Accipiter sylvestris
818183,Birds,Accipitridae,Accipiter tachiro
818185,Birds,Accipitridae,Accipiter toussenelii
3596224,Birds,Accipitridae,Accipiter trinotatus
1018783,Birds,Accipitridae,Accipiter trivirgatus
243413,Birds,Accipitridae,Accipiter virgatus
786449,Birds,Accipitridae,Aegypius monachus
15445,Birds,Accipitridae,Aquila adalberti
901447,Birds,Accipitridae,Spizaetus africanus
263129,Birds,Accipitridae,Aquila audax
263127,Birds,Accipitridae,Aquila chrysaetos
283160,Birds,Accipitridae,Hieraaetus fasciatus
624767,Birds,Accipitridae,Aquila gurneyi
588044,Birds,Accipitridae,Aquila heliaca
1058990,Birds,Accipitridae,Aquila nipalensis
283154,Birds,Accipitridae,Aquila rapax
283167,Birds,Accipitridae,Aquila spilogaster
283156,Birds,Accipitridae,Aquila verreauxii
1005585,Birds,Accipitridae,Aviceda cuculoides
3596247,Birds,Accipitridae,Aviceda jerdoni
3596245,Birds,Accipitridae,Aviceda leuphotes
7658528,Birds,Accipitridae,Aviceda madagascariensis
243412,Birds,Accipitridae,Aviceda subcristata
954493,Birds,Accipitridae,Busarellus nigricollis
441595,Birds,Accipitridae,Butastur indicus
3596249,Birds,Accipitridae,Butastur liventer
243417,Birds,Accipitridae,Butastur rufipennis
243416,Birds,Accipitridae,Butastur teesa
155924,Birds,Accipitridae,Buteo albigula
288710,Birds,Accipitridae,Buteo albonotatus
236917,Birds,Accipitridae,Buteo augur
883024,Birds,Accipitridae,Buteo auguralis
954498,Birds,Accipitridae,Buteo brachypterus
34347,Birds,Accipitridae,Buteo brachyurus
119214,Birds,Accipitridae,Buteo buteo
213673,Birds,Accipitridae,Buteo galapagoensis
433865,Birds,Accipitridae,Buteo hemilasius
509839,Birds,Accipitridae,Buteo jamaicensis
33800,Birds,Accipitridae,Buteo japonicus
188484,Birds,Accipitridae,Buteo lagopus
781301,Birds,Accipitridae,Buteo lineatus
243420,Birds,Accipitridae,Buteo nitidus
108771,Birds,Accipitridae,Buteo oreophilus
6151487,Birds,Accipitridae,Buteo plagiatus
36398,Birds,Accipitridae,Buteo platypterus
954496,Birds,Accipitridae,Buteo refectus
155919,Birds,Accipitridae,Buteo regalis
34339,Birds,Accipitridae,Buteo ridgwayi
545325,Birds,Accipitridae,Buteo rufinus
883027,Birds,Accipitridae,Buteo rufofuscus
3596165,Birds,Accipitridae,Buteo socotraensis
34350,Birds,Accipitridae,Buteo solitarius
1026126,Birds,Accipitridae,Buteo swainsoni
805062,Birds,Accipitridae,Buteo oreophilus trizonatus
155916,Birds,Accipitridae,Buteo ventralis
33798,Birds,Accipitridae,Buteogallus aequinoctialis
624766,Birds,Accipitridae,Buteogallus anthracinus
6151491,Birds,Accipitridae,Buteogallus coronatus
3596183,Birds,Accipitridae,Buteogallus gundlachii
6151492,Birds,Accipitridae,Buteogallus lacernulatus
1034657,Birds,Accipitridae,Buteogallus meridionalis
523012,Birds,Accipitridae,Leucopternis schistaceus
952537,Birds,Accipitridae,Harpyhaliaetus solitarius
1034660,Birds,Accipitridae,Buteogallus urubitinga
3596294,Birds,Accipitridae,Chelictinia riocourii
677106,Birds,Accipitridae,Chondrohierax uncinatus
574399,Birds,Accipitridae,Chondrohierax uncinatus wilsonii
3596182,Birds,Accipitridae,Circaetus beaudouini
103124,Birds,Accipitridae,Circaetus cinerascens
103129,Birds,Accipitridae,Circaetus cinereus
103123,Birds,Accipitridae,Circaetus fasciolatus
581835,Birds,Accipitridae,Circaetus gallicus
103125,Birds,Accipitridae,Circaetus pectoralis
263139,Birds,Accipitridae,Circus aeruginosus
766820,Birds,Accipitridae,Circus approximans
766823,Birds,Accipitridae,Circus assimilis
766824,Birds,Accipitridae,Circus buffoni
994347,Birds,Accipitridae,Circus cinereus
581831,Birds,Accipitridae,Circus cyaneus
3596190,Birds,Accipitridae,Circus hudsonius
3596195,Birds,Accipitridae,Circus macrosceles
766813,Birds,Accipitridae,Circus macrourus
3596193,Birds,Accipitridae,Circus maillardi
3596194,Birds,Accipitridae,Circus maurus
3596192,Birds,Accipitridae,Circus melanoleucos
766811,Birds,Accipitridae,Circus pygargus
624765,Birds,Accipitridae,Circus ranivorus
932845,Birds,Accipitridae,Circus spilonotus
3596188,Birds,Accipitridae,Circus spilothorax
325816,Birds,Accipitridae,Aquila clanga
588041,Birds,Accipitridae,Aquila pomarina
327094,Birds,Accipitridae,Dryotriorchis spectabilis
1053065,Birds,Accipitridae,Elanoides forficatus
3596257,Birds,Accipitridae,Elanus axillaris
192480,Birds,Accipitridae,Elanus caeruleus
153874,Birds,Accipitridae,Elanus leucurus
192479,Birds,Accipitridae,Elanus scriptus
3596290,Birds,Accipitridae,Erythrotriorchis buergersi
3596292,Birds,Accipitridae,Erythrotriorchis radiatus
677099,Birds,Accipitridae,Eutriorchis astur
767826,Birds,Accipitridae,Gampsonyx swainsonii
458094,Birds,Accipitridae,Buteo albicaudatus
954500,Birds,Accipitridae,Geranoaetus melanoleucus
458097,Birds,Accipitridae,Buteo polyosoma
376409,Birds,Accipitridae,Geranospiza caerulescens
317001,Birds,Accipitridae,Gypaetus barbatus
677101,Birds,Accipitridae,Gypohierax angolensis
315690,Birds,Accipitridae,Gyps africanus
315688,Birds,Accipitridae,Gyps bengalensis
263136,Birds,Accipitridae,Gyps coprotheres
549517,Birds,Accipitridae,Gyps fulvus
549509,Birds,Accipitridae,Gyps himalayensis
796905,Birds,Accipitridae,Gyps indicus
263132,Birds,Accipitridae,Gyps rueppellii
332779,Birds,Accipitridae,Gyps tenuirostris
263118,Birds,Accipitridae,Haliaeetus albicilla
1012350,Birds,Accipitridae,Haliaeetus leucocephalus
437769,Birds,Accipitridae,Haliaeetus leucogaster
327488,Birds,Accipitridae,Haliaeetus leucoryphus
327490,Birds,Accipitridae,Haliaeetus pelagicus
970752,Birds,Accipitridae,Haliaeetus sanfordi
970753,Birds,Accipitridae,Haliaeetus vocifer
95329,Birds,Accipitridae,Haliaeetus vociferoides
620963,Birds,Accipitridae,Haliastur indus
901451,Birds,Accipitridae,Haliastur sphenurus
624761,Birds,Accipitridae,Hamirostra melanosternon
919198,Birds,Accipitridae,Harpagus bidentatus
919199,Birds,Accipitridae,Harpagus diodon
783378,Birds,Accipitridae,Harpia harpyja
327091,Birds,Accipitridae,Harpyopsis novaeguineae
569234,Birds,Accipitridae,Rostrhamus hamatus
3596248,Birds,Accipitridae,Henicopernis infuscatus
985620,Birds,Accipitridae,Henicopernis longicauda
283158,Birds,Accipitridae,Hieraaetus ayresii
283165,Birds,Accipitridae,Hieraaetus morphnoides
541562,Birds,Accipitridae,Hieraaetus pennatus
283172,Birds,Accipitridae,Hieraaetus wahlbergi
3596232,Birds,Accipitridae,Hieraaetus weiskei
901454,Birds,Accipitridae,Ichthyophaga humilis
376403,Birds,Accipitridae,Ichthyophaga ichthyaetus
626720,Birds,Accipitridae,Ictinaetus malayensis
425440,Birds,Accipitridae,Ictinia mississippiensis
327100,Birds,Accipitridae,Ictinia plumbea
479312,Birds,Accipitridae,Kaupifalco monogrammicus
103132,Birds,Accipitridae,Leptodon cayanensis
3596250,Birds,Accipitridae,Leptodon forbesi
624763,Birds,Accipitridae,Leucopternis kuhli
624762,Birds,Accipitridae,Leucopternis melanops
120833,Birds,Accipitridae,Leucopternis semiplumbeus
901444,Birds,Accipitridae,Lophaetus occipitalis
494344,Birds,Accipitridae,Lophoictinia isura
1870,Birds,Accipitridae,Hieraaetus kienerii
903047,Birds,Accipitridae,Macheiramphus alcinus
3596277,Birds,Accipitridae,Megatriorchis doriae
192485,Birds,Accipitridae,Melierax canorus
192482,Birds,Accipitridae,Melierax metabates
911749,Birds,Accipitridae,Melierax poliopterus
919193,Birds,Accipitridae,Micronisus gabar
548448,Birds,Accipitridae,Milvus migrans
38956,Birds,Accipitridae,Milvus milvus
283151,Birds,Accipitridae,Morphnus guianensis
707369,Birds,Accipitridae,Necrosyrtes monachus
891414,Birds,Accipitridae,Neophron percnopterus
1027126,Birds,Accipitridae,Nisaetus alboniger
317641,Birds,Accipitridae,Nisaetus bartelsi
806931,Birds,Accipitridae,Spizaetus cirrhatus
3596234,Birds,Accipitridae,Nisaetus floris
1060716,Birds,Accipitridae,Spizaetus lanceolatus
327089,Birds,Accipitridae,Nisaetus nanus
932856,Birds,Accipitridae,Nisaetus nipalensis
806927,Birds,Accipitridae,Nisaetus philippensis
3596233,Birds,Accipitridae,Nisaetus pinskeri
6151524,Birds,Accipitridae,Parabuteo leucorrhous
1034652,Birds,Accipitridae,Parabuteo unicinctus
1035863,Birds,Accipitridae,Pernis apivorus
322728,Birds,Accipitridae,Pernis celebensis
322730,Birds,Accipitridae,Pernis ptilorhynchus
3596177,Birds,Accipitridae,Pernis steerei
103122,Birds,Accipitridae,Pithecophaga jefferyi
806935,Birds,Accipitridae,Polemaetus bellicosus
837578,Birds,Accipitridae,Polyboroides radiatus
677096,Birds,Accipitridae,Polyboroides typus
624768,Birds,Accipitridae,Leucopternis albicollis
399794,Birds,Accipitridae,Rostrhamus sociabilis
458089,Birds,Accipitridae,Buteo magnirostris
985504,Birds,Accipitridae,Sarcogyps calvus
266054,Birds,Accipitridae,Spilornis cheela
103133,Birds,Accipitridae,Spilornis elgini
103130,Birds,Accipitridae,Spilornis holospilus
3596258,Birds,Accipitridae,Spilornis kinabaluensis
