ott_id,Group,Family,unique_name
994084,Gymnosperms,GINKGOACEAE,Ginkgo biloba
625420,Gymnosperms,ARAUCARIACEAE,Wollemia nobilis
1020072,Gymnosperms,ARAUCARIACEAE,Araucaria angustifolia
884337,Gymnosperms,PODOCARPACEAE,Acmopyle sahniana
47947,Gymnosperms,WELWITSCHIACEAE,Welwitschia mirabilis
48793,Gymnosperms,ZAMIACEAE,Microcycas calocoma
164658,Gymnosperms,SCIADOPITYACEAE,Sciadopitys verticillata
963047,Gymnosperms,ARAUCARIACEAE,Araucaria araucana
399688,Gymnosperms,PODOCARPACEAE,Parasitaxus usta
810380,Gymnosperms,CUPRESSACEAE,Sequoiadendron giganteum
47954,Gymnosperms,CUPRESSACEAE,Metasequoia glyptostroboides
538150,Gymnosperms,CUPRESSACEAE,Sequoia sempervirens
238581,Gymnosperms,CUPRESSACEAE,Taiwania cryptomerioides
659110,Gymnosperms,PINACEAE,Cathaya argyrophylla
641107,Gymnosperms,PINACEAE,Pseudolarix amabilis
700834,Gymnosperms,PODOCARPACEAE,Saxegothaea conspicua
751756,Gymnosperms,CUPRESSACEAE,Glyptostrobus pensilis
386488,Gymnosperms,TAXACEAE,Pseudotaxus chienii
207220,Gymnosperms,PODOCARPACEAE,Pherosphaera fitzgeraldii
3866785,Gymnosperms,PODOCARPACEAE,Prumnopitys standleyi
86001,Gymnosperms,STANGERIACEAE,Stangeria eriopus
194514,Gymnosperms,PODOCARPACEAE,Pherosphaera hookeriana
317468,Gymnosperms,TAXACEAE,Austrotaxus spicata
10216,Gymnosperms,PODOCARPACEAE,Acmopyle pancheri
573557,Gymnosperms,PODOCARPACEAE,Prumnopitys ladei
85997,Gymnosperms,ARAUCARIACEAE,Araucaria heterophylla
1089675,Gymnosperms,TAXACEAE,Taxus floridana
10217,Gymnosperms,ARAUCARIACEAE,Agathis australis
894059,Gymnosperms,CYCADACEAE,Cycas hongheensis
128573,Gymnosperms,ARAUCARIACEAE,Agathis montana de Laub. 1969
48807,Gymnosperms,ZAMIACEAE,Dioon spinulosum
1022065,Gymnosperms,PODOCARPACEAE,Podocarpus decumbens
159509,Gymnosperms,PODOCARPACEAE,Prumnopitys andina
992628,Gymnosperms,PINACEAE,Pseudotsuga japonica
904749,Gymnosperms,ZAMIACEAE,Zamia hymenophyllidia
620751,Gymnosperms,PODOCARPACEAE,Podocarpus henkelii
309869,Gymnosperms,PODOCARPACEAE,Manoao colensoi
599519,Gymnosperms,ZAMIACEAE,Zamia spartea
3866981,Gymnosperms,ARAUCARIACEAE,Agathis kinabaluensis
3866771,Gymnosperms,PODOCARPACEAE,Falcatifolium angustum
1040417,Gymnosperms,PINACEAE,Picea koyamae
837873,Gymnosperms,PINACEAE,Pinus nelsonii
117272,Gymnosperms,CUPRESSACEAE,Cunninghamia lanceolata var. konishii
42988,Gymnosperms,PODOCARPACEAE,Podocarpus urbanii
751748,Gymnosperms,CUPRESSACEAE,Athrotaxis selaginoides
810438,Gymnosperms,CUPRESSACEAE,Athrotaxis cupressoides
142249,Gymnosperms,CYCADACEAE,Cycas chamaoensis
84961,Gymnosperms,ZAMIACEAE,Encephalartos middelburgensis
259823,Gymnosperms,ZAMIACEAE,Encephalartos cupidus
1020081,Gymnosperms,ARAUCARIACEAE,Araucaria muelleri
828859,Gymnosperms,TAXACEAE,Cephalotaxus hainanensis
791262,Gymnosperms,CUPRESSACEAE,Fitzroya cupressoides
48805,Gymnosperms,ZAMIACEAE,Dioon rzedowskii
606549,Gymnosperms,ZAMIACEAE,Encephalartos latifrons
296254,Gymnosperms,TAXACEAE,Taxus chinensis
1043650,Gymnosperms,TAXACEAE,Torreya jackii
1090066,Gymnosperms,CUPRESSACEAE,Chamaecyparis hodginsii
262920,Gymnosperms,ARAUCARIACEAE,Agathis borneensis
3866980,Gymnosperms,ARAUCARIACEAE,Agathis orbicula
388647,Gymnosperms,CYCADACEAE,Cycas hoabinhensis
625424,Gymnosperms,ARAUCARIACEAE,Agathis ovata
201526,Gymnosperms,CYCADACEAE,Cycas debaoensis
1043657,Gymnosperms,TAXACEAE,Taxus wallichiana
698566,Gymnosperms,TAXACEAE,Torreya taxifolia
259835,Gymnosperms,ZAMIACEAE,Encephalartos aemulans
693241,Gymnosperms,PINACEAE,Pseudotsuga sinensis
