ott_id,Group,Family,unique_name
234035,Mammals,Abrocomidae,Abrocoma bennettii
3609753,Mammals,Abrocomidae,Abrocoma boliviensis
3609757,Mammals,Abrocomidae,Abrocoma budini
906641,Mammals,Abrocomidae,Abrocoma cinerea
3609754,Mammals,Abrocomidae,Abrocoma famatina
3609758,Mammals,Abrocomidae,Abrocoma shistacea
3609756,Mammals,Abrocomidae,Abrocoma uspallata
3609752,Mammals,Abrocomidae,Abrocoma vaccarum
3609761,Mammals,Abrocomidae,Cuscomys ashaninka
3609760,Mammals,Abrocomidae,Cuscomys oblativa
432839,Mammals,Acrobatidae,Acrobates pygmaeus
852215,Mammals,Acrobatidae,Distoechurus pennatus
872562,Mammals,Ailuridae,Ailurus fulgens
254702,Mammals,Anomaluridae,Anomalurus beecrofti
3609277,Mammals,Anomaluridae,Anomalurus derbianus
3609276,Mammals,Anomaluridae,Anomalurus pelii
3609275,Mammals,Anomaluridae,Anomalurus pusillus
530207,Mammals,Anomaluridae,Idiurus macrotis
3609278,Mammals,Anomaluridae,Idiurus zenkeri
768683,Mammals,Antilocapridae,Antilocapra americana
159158,Mammals,Aplodontiidae,Aplodontia rufa
3607552,Mammals,Atelidae,Alouatta arctoidea
1058654,Mammals,Atelidae,Alouatta belzebul
791697,Mammals,Atelidae,Alouatta caraya
3607550,Mammals,Atelidae,Alouatta discolor
558069,Mammals,Atelidae,Alouatta guariba
512634,Mammals,Atelidae,Alouatta seniculus macconnelli
1012045,Mammals,Atelidae,Alouatta palliata
558066,Mammals,Atelidae,Alouatta pigra
814670,Mammals,Atelidae,Alouatta sara
791699,Mammals,Atelidae,Alouatta seniculus
3607551,Mammals,Atelidae,Alouatta ululata
791705,Mammals,Atelidae,Ateles belzebuth
814889,Mammals,Atelidae,Ateles belzebuth chamek
791687,Mammals,Atelidae,Ateles fusciceps
791691,Mammals,Atelidae,Ateles geoffroyi
645692,Mammals,Atelidae,Ateles hybridus
3607557,Mammals,Atelidae,Ateles marginatus
217258,Mammals,Atelidae,Ateles paniscus
1058645,Mammals,Atelidae,Brachyteles arachnoides
574171,Mammals,Atelidae,Brachyteles hypoxanthus
968680,Mammals,Atelidae,Lagothrix cana
3607554,Mammals,Atelidae,Lagothrix flavicauda
297528,Mammals,Atelidae,Lagothrix lagotricha
57313,Mammals,Atelidae,Lagothrix poeppigii
397231,Mammals,Balaenidae,Balaena mysticetus
699249,Mammals,Balaenidae,Eubalaena australis
397247,Mammals,Balaenidae,Eubalaena glacialis
1072344,Mammals,Balaenidae,Eubalaena japonica
800317,Mammals,Balaenopteridae,Balaenoptera acutorostrata
44568,Mammals,Balaenopteridae,Balaenoptera bonaerensis
800329,Mammals,Balaenopteridae,Balaenoptera borealis
800331,Mammals,Balaenopteridae,Balaenoptera edeni
226190,Mammals,Balaenopteridae,Balaenoptera musculus
313151,Mammals,Balaenopteridae,Balaenoptera omurai
226193,Mammals,Balaenopteridae,Balaenoptera physalus
226198,Mammals,Balaenopteridae,Megaptera novaeangliae
118538,Mammals,Bathyergidae,Bathyergus janetta
118542,Mammals,Bathyergidae,Bathyergus suillus
118550,Mammals,Bathyergidae,Cryptomys hottentotus
107128,Mammals,Bathyergidae,Fukomys amatus
927982,Mammals,Bathyergidae,Fukomys anselli
257746,Mammals,Bathyergidae,Fukomys bocagei
895549,Mammals,Bathyergidae,Fukomys damarensis
257739,Mammals,Bathyergidae,Fukomys darlingi
927967,Mammals,Bathyergidae,Fukomys foxi
6144312,Mammals,Bathyergidae,Fukomys ilariae
927977,Mammals,Bathyergidae,Fukomys kafuensis
107104,Mammals,Bathyergidae,Fukomys mechowii
681119,Mammals,Bathyergidae,Fukomys micklemi
927962,Mammals,Bathyergidae,Fukomys ochraceocinereus
107122,Mammals,Bathyergidae,Fukomys whytei
3609786,Mammals,Bathyergidae,Fukomys zechi
