ott_id,Group,Family,unique_name
335590,Crocodilians,Alligatoridae,Alligator mississippiensis
953151,Crocodilians,Alligatoridae,Alligator sinensis
912130,Crocodilians,Alligatoridae,Caiman crocodilus
699848,Crocodilians,Alligatoridae,Caiman latirostris
788419,Crocodilians,Alligatoridae,Caiman yacare
953147,Crocodilians,Alligatoridae,Melanosuchus niger
828655,Crocodilians,Alligatoridae,Paleosuchus palpebrosus
953138,Crocodilians,Alligatoridae,Paleosuchus trigonatus
870591,Crocodilians,Crocodylidae,Crocodylus acutus
1035832,Crocodilians,Crocodylidae,Crocodylus intermedius
458978,Crocodilians,Crocodylidae,Crocodylus johnsoni
458970,Crocodilians,Crocodylidae,Crocodylus mindorensis
458975,Crocodilians,Crocodylidae,Crocodylus moreletii
35864,Crocodilians,Crocodylidae,Crocodylus niloticus
35869,Crocodilians,Crocodylidae,Crocodylus novaeguineae
458957,Crocodilians,Crocodylidae,Crocodylus palustris
35872,Crocodilians,Crocodylidae,Crocodylus porosus
458963,Crocodilians,Crocodylidae,Crocodylus rhombifer
333784,Crocodilians,Crocodylidae,Crocodylus siamensis
5223435,Crocodilians,Crocodylidae,Crocodylus suchus
180825,Crocodilians,Crocodylidae,Mecistops cataphractus
7657687,Crocodilians,Crocodylidae,Mecistops leptorhynchus
1035828,Crocodilians,Crocodylidae,Osteolaemus tetraspis
1035823,Crocodilians,Crocodylidae,Tomistoma schlegelii
881015,Crocodilians,Gavialidae,Gavialis gangeticus
810244,Turtles,Carettochelyidae,Carettochelys insculpta
19159,Turtles,Chelidae,Acanthochelys macrocephala
565695,Turtles,Chelidae,Acanthochelys pallidipectoris
682380,Turtles,Chelidae,Acanthochelys radiolata
477943,Turtles,Chelidae,Acanthochelys spixii
5548768,Turtles,Chelidae,Chelodina burrungandjii
7068942,Turtles,Chelidae,Chelodina canni
5925812,Turtles,Chelidae,Chelodina colliei
642964,Turtles,Chelidae,Chelodina expansa
7664120,Turtles,Chelidae,Chelodina gunaleni
7664121,Turtles,Chelidae,Chelodina kuchlingi
235769,Turtles,Chelidae,Chelodina longicollis
940288,Turtles,Chelidae,Chelodina mccordi
395836,Turtles,Chelidae,Chelodina novaeguineae
508306,Turtles,Chelidae,Chelodina parkeri
340380,Turtles,Chelidae,Chelodina pritchardi
340378,Turtles,Chelidae,Chelodina reimanni
235762,Turtles,Chelidae,Chelodina oblonga
3606122,Turtles,Chelidae,Chelodina steindachneri
7664122,Turtles,Chelidae,Chelodina walloyarrina
235773,Turtles,Chelidae,Chelus fimbriata
420318,Turtles,Chelidae,Elseya albagula
477963,Turtles,Chelidae,Elseya branderhorsti
235771,Turtles,Chelidae,Elseya dentata
6156382,Turtles,Chelidae,Elseya flaviventralis
952550,Turtles,Chelidae,Elseya irwini
952549,Turtles,Chelidae,Elseya lavarackorum
469659,Turtles,Chelidae,Elseya novaeguineae
7664125,Turtles,Chelidae,Elseya rhodini
7068943,Turtles,Chelidae,Elseya schultzei
557461,Turtles,Chelidae,Elusor macrurus
3606117,Turtles,Chelidae,Emydura australis
2572,Turtles,Chelidae,Emydura macquarii
198154,Turtles,Chelidae,Emydura subglobosa
136733,Turtles,Chelidae,Emydura tanybaraga
2982,Turtles,Chelidae,Emydura victoriae
1086675,Turtles,Chelidae,Hydromedusa maximiliani
357173,Turtles,Chelidae,Hydromedusa tectifera
904196,Turtles,Chelidae,Mesoclemmys dahli
701152,Turtles,Chelidae,Mesoclemmys gibba
944927,Turtles,Chelidae,Mesoclemmys heliostemma
620267,Turtles,Chelidae,Mesoclemmys hogei
508309,Turtles,Chelidae,Mesoclemmys nasuta
944923,Turtles,Chelidae,Mesoclemmys raniceps
944918,Turtles,Chelidae,Mesoclemmys tuberculata
944935,Turtles,Chelidae,Mesoclemmys vanderhaegei
904202,Turtles,Chelidae,Mesoclemmys zuliae
469690,Turtles,Chelidae,Myuchelys bellii
562290,Turtles,Chelidae,Myuchelys georgesi
562326,Turtles,Chelidae,Myuchelys latisternum
93442,Turtles,Chelidae,Myuchelys purvisi
460709,Turtles,Chelidae,Phrynops geoffroanus
66457,Turtles,Chelidae,Phrynops hilarii
3606124,Turtles,Chelidae,Phrynops tuberosus
477949,Turtles,Chelidae,Phrynops williamsi
709464,Turtles,Chelidae,Platemys platycephala
507380,Turtles,Chelidae,Pseudemydura umbrina
1013512,Turtles,Chelidae,Rheodytes leukops
996174,Turtles,Chelidae,Rhinemys rufipes
392505,Turtles,Cheloniidae,Caretta caretta
559133,Turtles,Cheloniidae,Chelonia mydas
430337,Turtles,Cheloniidae,Eretmochelys imbricata
587328,Turtles,Cheloniidae,Lepidochelys kempii
430320,Turtles,Cheloniidae,Lepidochelys olivacea
895624,Turtles,Cheloniidae,Natator depressus
7663893,Turtles,Chelydridae,Chelydra acutirostris
420313,Turtles,Chelydridae,Chelydra rossignonii
587311,Turtles,Chelydridae,Chelydra serpentina
1084896,Turtles,Chelydridae,Macrochelys temminckii
98390,Turtles,Dermatemydidae,Dermatemys mawii
243403,Turtles,Dermochelyidae,Dermochelys coriacea
743507,Turtles,Emydidae,Actinemys marmorata
5553928,Turtles,Emydidae,Actinemys pallida
680552,Turtles,Emydidae,Chrysemys dorsalis
587300,Turtles,Emydidae,Chrysemys picta
436621,Turtles,Emydidae,Clemmys guttata
848781,Turtles,Emydidae,Deirochelys reticularia
1013355,Turtles,Emydidae,Emys blandingii
733093,Turtles,Emydidae,Emys orbicularis
592138,Turtles,Emydidae,Emys trinacris
743503,Turtles,Emydidae,Glyptemys insculpta
743501,Turtles,Emydidae,Glyptemys muhlenbergii
905270,Turtles,Emydidae,Graptemys barbouri
515020,Turtles,Emydidae,Graptemys caglei
515021,Turtles,Emydidae,Graptemys ernsti
835313,Turtles,Emydidae,Graptemys flavimaculata
1064023,Turtles,Emydidae,Graptemys geographica
515023,Turtles,Emydidae,Graptemys gibbonsi
905287,Turtles,Emydidae,Graptemys nigrinoda
905289,Turtles,Emydidae,Graptemys oculifera
480212,Turtles,Emydidae,Graptemys ouachitensis
6155978,Turtles,Emydidae,Graptemys pearlensis
1092200,Turtles,Emydidae,Graptemys pseudogeographica
480185,Turtles,Emydidae,Graptemys pulchra
927372,Turtles,Emydidae,Graptemys ouachitensis sabinensis
922328,Turtles,Emydidae,Graptemys versa
1064070,Turtles,Emydidae,Malaclemys terrapin
848502,Turtles,Emydidae,Pseudemys alabamensis
1003485,Turtles,Emydidae,Pseudemys concinna
848504,Turtles,Emydidae,Pseudemys gorzugi
526264,Turtles,Emydidae,Pseudemys nelsoni
351865,Turtles,Emydidae,Pseudemys peninsularis
351864,Turtles,Emydidae,Pseudemys rubriventris
981321,Turtles,Emydidae,Pseudemys texana
848786,Turtles,Emydidae,Terrapene carolina
444150,Turtles,Emydidae,Terrapene coahuila
4948075,Turtles,Emydidae,Terrapene mexicana
848784,Turtles,Emydidae,Terrapene nelsoni
1013359,Turtles,Emydidae,Terrapene ornata
608023,Turtles,Emydidae,Trachemys decorata
608019,Turtles,Emydidae,Trachemys decussata
735232,Turtles,Emydidae,Trachemys dorbigni
608020,Turtles,Emydidae,Trachemys gaigeae
34947,Turtles,Emydidae,Trachemys grayi
927365,Turtles,Emydidae,Trachemys nebulosa
996201,Turtles,Emydidae,Trachemys ornata
725741,Turtles,Emydidae,Trachemys scripta
608016,Turtles,Emydidae,Trachemys stejnegeri
455436,Turtles,Emydidae,Trachemys taylori
608017,Turtles,Emydidae,Trachemys terrapen
996196,Turtles,Emydidae,Trachemys venusta
455430,Turtles,Emydidae,Trachemys yaquia
154908,Turtles,Geoemydidae,Batagur affinis
361285,Turtles,Geoemydidae,Batagur baska
340373,Turtles,Geoemydidae,Batagur borneoensis
340369,Turtles,Geoemydidae,Batagur dhongoka
859923,Turtles,Geoemydidae,Batagur kachuga
7583,Turtles,Geoemydidae,Batagur trivittata
626958,Turtles,Geoemydidae,Cuora amboinensis
905071,Turtles,Geoemydidae,Cuora aurocapitata
377074,Turtles,Geoemydidae,Cuora bourreti
26430,Turtles,Geoemydidae,Cuora trifasciata
85384,Turtles,Geoemydidae,Cuora flavomarginata
85387,Turtles,Geoemydidae,Cuora galbinifrons
6859,Turtles,Geoemydidae,Cuora mccordi
354928,Turtles,Geoemydidae,Cuora mouhotii
26431,Turtles,Geoemydidae,Cuora pani
377078,Turtles,Geoemydidae,Cuora picturata
26440,Turtles,Geoemydidae,Cuora yunnanensis
711704,Turtles,Geoemydidae,Cuora zhoui
879761,Turtles,Geoemydidae,Cyclemys atripons
54221,Turtles,Geoemydidae,Cyclemys dentata
6156010,Turtles,Geoemydidae,Cyclemys enigmatica
537636,Turtles,Geoemydidae,Cyclemys fusca
33171,Turtles,Geoemydidae,Cyclemys gemeli
94176,Turtles,Geoemydidae,Cyclemys oldhami
615604,Turtles,Geoemydidae,Cyclemys pulchristriata
879770,Turtles,Geoemydidae,Geoclemys hamiltonii
85379,Turtles,Geoemydidae,Geoemyda japonica
105478,Turtles,Geoemydidae,Geoemyda spengleri
711706,Turtles,Geoemydidae,Hardella thurjii
354932,Turtles,Geoemydidae,Heosemys annandalii
354945,Turtles,Geoemydidae,Heosemys depressa
54216,Turtles,Geoemydidae,Heosemys grandis
619859,Turtles,Geoemydidae,Heosemys spinosa
782430,Turtles,Geoemydidae,Leucocephalon yuwonoi
5925806,Turtles,Geoemydidae,Malayemys khoratensis
935350,Turtles,Geoemydidae,Malayemys macrocephala
679463,Turtles,Geoemydidae,Malayemys subtrijuga
85372,Turtles,Geoemydidae,Mauremys annamensis
552142,Turtles,Geoemydidae,Mauremys caspica
26434,Turtles,Geoemydidae,Mauremys japonica
26437,Turtles,Geoemydidae,Mauremys leprosa
679467,Turtles,Geoemydidae,Mauremys mutica
591393,Turtles,Geoemydidae,Mauremys nigricans
829098,Turtles,Geoemydidae,Mauremys reevesii
1078568,Turtles,Geoemydidae,Mauremys rivulata
879764,Turtles,Geoemydidae,Mauremys sinensis
469686,Turtles,Geoemydidae,Melanochelys tricarinata
105484,Turtles,Geoemydidae,Melanochelys trijuga
679473,Turtles,Geoemydidae,Morenia ocellata
872526,Turtles,Geoemydidae,Morenia petersi
711698,Turtles,Geoemydidae,Notochelys platynota
105476,Turtles,Geoemydidae,Orlitia borneensis
61733,Turtles,Geoemydidae,Pangshura smithii
748759,Turtles,Geoemydidae,Pangshura sylhetensis
437360,Turtles,Geoemydidae,Pangshura tecta
115586,Turtles,Geoemydidae,Pangshura tentoria
727059,Turtles,Geoemydidae,Rhinoclemmys annulata
727052,Turtles,Geoemydidae,Rhinoclemmys areolata
727051,Turtles,Geoemydidae,Rhinoclemmys diademata
727054,Turtles,Geoemydidae,Rhinoclemmys funerea
203557,Turtles,Geoemydidae,Rhinoclemmys melanosterna
737459,Turtles,Geoemydidae,Rhinoclemmys nasuta
203569,Turtles,Geoemydidae,Rhinoclemmys pulcherrima
203555,Turtles,Geoemydidae,Rhinoclemmys punctularia
727058,Turtles,Geoemydidae,Rhinoclemmys rubida
137549,Turtles,Geoemydidae,Sacalia bealei
105481,Turtles,Geoemydidae,Sacalia quadriocellata
54218,Turtles,Geoemydidae,Siebenrockiella crassicollis
319837,Turtles,Geoemydidae,Siebenrockiella leytensis
1069292,Turtles,Geoemydidae,Vijayachelys silvatica
469679,Turtles,Kinosternidae,Claudius angustatus
592296,Turtles,Kinosternidae,Kinosternon acutum
592293,Turtles,Kinosternidae,Kinosternon alamosae
592291,Turtles,Kinosternidae,Kinosternon angustipons
487669,Turtles,Kinosternidae,Kinosternon baurii
270867,Turtles,Kinosternidae,Kinosternon chimalhuaca
270865,Turtles,Kinosternidae,Kinosternon creaseri
592287,Turtles,Kinosternidae,Kinosternon dunni
487668,Turtles,Kinosternidae,Kinosternon durangoense
487667,Turtles,Kinosternidae,Kinosternon flavescens
1053479,Turtles,Kinosternidae,Kinosternon herrerai
487665,Turtles,Kinosternidae,Kinosternon hirtipes
944915,Turtles,Kinosternidae,Kinosternon integrum
608602,Turtles,Kinosternidae,Kinosternon leucostomum
3606159,Turtles,Kinosternidae,Kinosternon oaxacae
969338,Turtles,Kinosternidae,Kinosternon scorpioides
944913,Turtles,Kinosternidae,Kinosternon sonoriense
487664,Turtles,Kinosternidae,Kinosternon subrubrum
487671,Turtles,Kinosternidae,Kinosternon stejnegeri
996207,Turtles,Kinosternidae,Staurotypus salvinii
149793,Turtles,Kinosternidae,Staurotypus triporcatus
106549,Turtles,Kinosternidae,Sternotherus carinatus
996209,Turtles,Kinosternidae,Sternotherus depressus
828705,Turtles,Kinosternidae,Sternotherus minor
487672,Turtles,Kinosternidae,Sternotherus odoratus
5819775,Turtles,Pelomedusidae,Pelomedusa barbata
5819771,Turtles,Pelomedusidae,Pelomedusa galeata
5819769,Turtles,Pelomedusidae,Pelomedusa gehafie
5819772,Turtles,Pelomedusidae,Pelomedusa kobe
5819774,Turtles,Pelomedusidae,Pelomedusa neumanni
5819767,Turtles,Pelomedusidae,Pelomedusa olivacea
5819770,Turtles,Pelomedusidae,Pelomedusa schweinfurthi
5819768,Turtles,Pelomedusidae,Pelomedusa somalica
775044,Turtles,Pelomedusidae,Pelomedusa subrufa
5819776,Turtles,Pelomedusidae,Pelomedusa variabilis
10573,Turtles,Pelomedusidae,Pelusios adansonii
10581,Turtles,Pelomedusidae,Pelusios bechuanicus
419111,Turtles,Pelomedusidae,Pelusios broadleyi
419093,Turtles,Pelomedusidae,Pelusios carinatus
394412,Turtles,Pelomedusidae,Pelusios castaneus
419097,Turtles,Pelomedusidae,Pelusios castanoides
419100,Turtles,Pelomedusidae,Pelusios chapini
419117,Turtles,Pelomedusidae,Pelusios cupulatta
471348,Turtles,Pelomedusidae,Pelusios gabonensis
419119,Turtles,Pelomedusidae,Pelusios marani
10583,Turtles,Pelomedusidae,Pelusios nanus
996190,Turtles,Pelomedusidae,Pelusios niger
996193,Turtles,Pelomedusidae,Pelusios rhodesianus
235190,Turtles,Pelomedusidae,Pelusios sinuatus
486678,Turtles,Pelomedusidae,Pelusios subniger
10577,Turtles,Pelomedusidae,Pelusios upembae
149795,Turtles,Pelomedusidae,Pelusios williamsi
619860,Turtles,Platysternidae,Platysternon megacephalum
775068,Turtles,Podocnemididae,Erymnochelys madagascariensis
540332,Turtles,Podocnemididae,Peltocephalus dumerilianus
674543,Turtles,Podocnemididae,Podocnemis erythrocephala
709468,Turtles,Podocnemididae,Podocnemis expansa
211855,Turtles,Podocnemididae,Podocnemis lewyana
674547,Turtles,Podocnemididae,Podocnemis sextuberculata
528625,Turtles,Podocnemididae,Podocnemis unifilis
674544,Turtles,Podocnemididae,Podocnemis vogli
93887,Turtles,Testudinidae,Aldabrachelys gigantea
859767,Turtles,Testudinidae,Astrochelys radiata
940487,Turtles,Testudinidae,Astrochelys yniphora
1050325,Turtles,Testudinidae,Centrochelys sulcata
564324,Turtles,Testudinidae,Chelonoidis becki
560352,Turtles,Testudinidae,Chelonoidis carbonarius
1090887,Turtles,Testudinidae,Chelonoidis chathamensis
477704,Turtles,Testudinidae,Chelonoidis chilensis
564318,Turtles,Testudinidae,Chelonoidis darwini
1050326,Turtles,Testudinidae,Chelonoidis denticulatus
5925807,Turtles,Testudinidae,Chelonoidis donfaustoi
249978,Turtles,Testudinidae,Chelonoidis duncanensis
7068932,Turtles,Testudinidae,Chelonoidis guntheri
