LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott359899,Onobrychis viciifolia
ott1094667,Sulla coronaria
ott809997,Alhagi maurorum
ott626803,Astragalus hamosus
ott611049,Biserrula pelecinus
ott15713,Swainsona pterostylis
ott18776,Carmichaelia exsul
ott909321,Clianthus puniceus
ott1085827,Swainsona formosa
ott347659,Swainsona canescens
ott611053,Lessertia frutescens
ott422182,Swainsona lessertiifolia
ott422189,Swainsona galegifolia
ott478368,Swainsona flavicarinata
ott478370,Swainsona microphylla
ott591763,Swainsona cyclocarpa
ott591765,Swainsona campylantha
ott591767,Swainsona disjuncta
ott591769,Swainsona decurrens
ott591771,Swainsona kingii
ott591774,Swainsona oroboides
ott591776,Swainsona murrayana
ott684192,Swainsona phacoides
ott684225,Swainsona oligophylla
ott1066375,Swainsona parviflora
ott1066377,Swainsona purpurea
ott1066379,Swainsona stenodonta
ott1066381,Swainsona swainsonioides
ott1066383,Swainsona villosa
ott3926088,Swainsona rostellata
ott3926089,Swainsona elegans
ott3926090,Swainsona pedunculata
ott3926091,Swainsona tephrotricha
ott3926092,Swainsona brachycarpa
ott3926093,Swainsona fraseri
ott3926094,Swainsona viridis
ott3926095,Swainsona monticola
ott3926096,Swainsona oliveri
ott3926097,Swainsona unifoliolata
ott3926098,Swainsona minutiflora
ott3926099,Swainsona beasleyana
ott3926100,Swainsona stipularis
ott3926101,Swainsona greyana
ott3926102,Swainsona burkei
ott3926103,Swainsona fissimontana
ott3926104,Swainsona laxa
ott3926105,Swainsona maccullochiana
ott3926106,Swainsona leeana
ott3926107,Swainsona microcalyx
ott3926108,Swainsona burkittii
ott3926109,Swainsona plagiotropis
ott3926110,Swainsona procumbens
ott3926111,Swainsona luteola
ott3926112,Swainsona recta
ott3926113,Swainsona colutoides
ott3926114,Swainsona laciniata
ott3926115,Swainsona forrestii
ott3926118,Swainsona campestris
ott3926119,Swainsona gracilis
ott3926120,Swainsona incei
ott6096817,Swainsona calcicola
ott3924322,Astragalus sesameus
ott1066889,Trifolium glomeratum
ott540594,Trifolium cernuum
ott19401,Trifolium uniflorum
ott375169,Trifolium suffocatum
ott116218,Trifolium repens
ott540592,Trifolium ambiguum
ott597357,Trifolium rueppellianum
ott76058,Trifolium fragiferum
ott597375,Trifolium resupinatum
ott689182,Trifolium tomentosum
ott230321,Trifolium vesiculosum
ott230325,Trifolium spumosum
ott592381,Trifolium michelianum
ott592373,Trifolium ornithopodioides
ott1066895,Trifolium hybridum
ott128253,Trifolium angustifolium
ott597371,Trifolium purpureum
ott76060,Trifolium echinatum
ott128251,Trifolium alexandrinum
ott649824,Trifolium clypeatum
ott839027,Trifolium pratense
ott76054,Trifolium lappaceum
ott230329,Trifolium striatum
ott230331,Trifolium stellatum
ott705473,Trifolium incarnatum
ott689176,Trifolium ligusticum
ott597359,Trifolium scabrum
ott689169,Trifolium arvense
ott301791,Trifolium hirtum
ott1066897,Trifolium cherleri
ott574496,Trifolium pilulare
ott539553,Trifolium subterraneum
ott999606,Trifolium globosum
ott230319,Trifolium strictum
ott523437,Trifolium micranthum
ott76062,Trifolium dubium
ott649828,Trifolium campestre
ott689166,Trifolium aureum
ott359905,Lathyrus oleraceus
ott136995,Lathyrus latifolius
ott1036603,Lathyrus odoratus
ott510046,Lathyrus sativus
ott510040,Lathyrus tingitanus
ott131464,Lathyrus nissolia
ott329424,Lathyrus angulatus
ott510043,Lathyrus sphaericus
ott788641,Vicia disperma
ott1065968,Vicia villosa
ott1069757,Vicia eriocarpa
ott136983,Vicia benghalensis
ott90121,Vicia monantha
ott137009,Vicia ervilia
ott1065971,Vicia hirsuta
ott445950,Vicia americana
ott1056096,Vicia sativa
ott539544,Vicia faba
ott156245,Vicia lens
ott137007,Vicia tetrasperma
ott539541,Vicia cracca
ott38031,Medicago polymorpha
ott193971,Medicago littoralis
ott1060499,Medicago truncatula
ott374480,Medicago italica
ott849855,Medicago turbinata
ott1007990,Medicago soleirolii
ott510783,Medicago praecox
ott424987,Medicago rugosa
ott788501,Medicago scutellata
ott525750,Medicago arabica
ott1001767,Medicago orbicularis
ott38032,Medicago lupulina
ott374489,Medicago minima
ott55901,Medicago intertexta
ott950613,Medicago ciliaris
ott374481,Medicago laciniata
ott1086789,Medicago sativa
ott292214,Medicago carstiensis
ott867130,Medicago arborea
ott38042,Melilotus albus
ott38048,Melilotus officinalis
ott1072867,Melilotus indicus
ott596048,Melilotus siculus
ott139477,Trigonella suavissima
ott684370,Ononis spinosa
ott612429,Cicer arietinum
ott503587,Wisteria sinensis
ott743449,Austrocallerya australis
ott743455,Austrocallerya megasperma
ott3920548,Austrocallerya pilipes
ott1060454,Glycyrrhiza acanthocarpa
ott554264,Glycyrrhiza glabra
ott253733,Anthyllis vulneraria
ott824983,Anthyllis barba-jovis
ott119032,Lotus subbiflorus
ott977945,Lotus hispidus
ott947355,Lotus angustissimus
ott484501,Lotus pedunculatus
ott183572,Lotus corniculatus
ott640678,Ornithopus sativus
ott976209,Ornithopus pinnatus
ott640679,Ornithopus perpusillus
ott1076902,Ornithopus compressus
ott526304,Coronilla vaginalis
ott383451,Coronilla varia
ott872809,Hippocrepis emerus
ott738543,Scorpiurus muricatus
ott472038,Lotus creticus
ott472041,Lotus australis
ott472046,Lotus cruentus
ott7055641,Lotus rectus
ott103150,Sesbania grandiflora
ott1006056,Sesbania formosa
ott225259,Sesbania brachycarpa
ott3929231,Sesbania campylocarpa
ott3929238,Sesbania chippendalei
ott418553,Sesbania bispinosa
ott1060096,Sesbania sesban
ott3929211,Sesbania erubescens
ott3929224,Sesbania simpliciuscula
ott3929240,Sesbania benthamiana
ott103143,Sesbania cannabina
ott7055645,Sesbania javanica
ott928416,Robinia pseudoacacia
ott869024,Gliricidia sepium
ott39530,Abrus precatorius
ott170183,Pongamia pinnata
ott170173,Derris elliptica
ott1064460,Derris trifoliata
ott661317,Derris rubrocalyx
ott92899,Tephrosia vogelii
ott387973,Tephrosia nematophylla
ott677998,Tephrosia candida
ott869662,Tephrosia grandiflora
ott3920032,Tephrosia porrecta
ott3920055,Tephrosia humifusa
ott3920056,Tephrosia filipes
ott3920057,Tephrosia arnhemica
ott3920066,Tephrosia simplicifolia
ott3920072,Tephrosia phaeosperma
ott3920076,Tephrosia savannicola
ott3920079,Tephrosia macrostachya
ott3920085,Tephrosia gaudium-solis
ott3920096,Tephrosia pumila
ott3920097,Tephrosia bidwillii
ott3920099,Tephrosia valleculata
ott3920108,Tephrosia varians
ott3920109,Tephrosia eriocarpa
ott3920116,Tephrosia lamprolobioides
ott3920129,Tephrosia coriacea
ott3920131,Tephrosia maculata
ott3920132,Tephrosia polyzyga
ott3920139,Tephrosia elegans
ott3920162,Tephrosia oligophylla
ott3920164,Tephrosia arenicola
ott3920166,Tephrosia benthamii
ott3920167,Tephrosia forrestiana
ott3920170,Tephrosia remotiflora
ott3920178,Tephrosia uniovulata
ott3920180,Tephrosia glomeruliflora
ott138659,Tephrosia purpurea
ott3920188,Tephrosia pedleyi
ott3920191,Tephrosia graminifolia
ott3920192,Tephrosia brachycarpa
ott3920196,Tephrosia barbatala
ott3920198,Tephrosia supina
ott3920205,Tephrosia leveillei
ott3920207,Tephrosia conspicua
ott3920215,Tephrosia subtriflora
ott3920216,Tephrosia flammea
ott3920229,Tephrosia stuartii
ott3920236,Tephrosia brachyodon
ott3920238,Tephrosia gardneri
ott3920239,Tephrosia virens
ott3920243,Tephrosia debilis
ott3920244,Tephrosia sphaerospora
ott3920245,Tephrosia noctiflora
ott3920246,Tephrosia subpectinata
ott3920247,Tephrosia macrocarpa
ott3920267,Tephrosia delicatula
ott3920270,Tephrosia oblongata
ott3920273,Tephrosia delestangii
ott3920275,Tephrosia juncea
ott3920278,Tephrosia crocea
ott3920292,Tephrosia leptoclada
ott3920295,Tephrosia spechtii
ott3920299,Tephrosia dietrichiae
ott3920302,Tephrosia reticulata
ott3920314,Tephrosia gyropoda
ott3920320,Tephrosia astragaloides
ott3920323,Tephrosia laxa
ott3920327,Tephrosia stipuligera
ott3920328,Tephrosia clementii
ott3920330,Tephrosia turpinii
ott3920335,Tephrosia rufula
ott3920339,Tephrosia flagellaris
ott3920340,Tephrosia tinctoria
ott5147371,Tephrosia baueri
