LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott114,Odorrana geminata
ott214633,Odorrana chapaensis
ott43280,Odorrana grahami
ott440550,Odorrana margaretae
ott3618367,Odorrana kuangwuensis
ott656728,Odorrana junlianensis
ott290008,Odorrana andersonii
ott232635,Amolops daorum
ott585771,Amolops archotaphus
ott711482,Amolops akhaorum
ott585756,Amolops iriodes
ott232641,Amolops cucae
ott585767,Amolops compotrix
ott585750,Amolops vitreus
ott656714,Odorrana jingdongensis
ott14375,Odorrana supranarina
ott14379,Odorrana narina
ott14384,Odorrana amamiensis
ott14377,Odorrana utsunomiyaorum
ott14392,Odorrana swinhoana
ott125606,Odorrana versabilis
ott3618374,Odorrana nasuta
ott3618372,Odorrana exiliversabilis
ott646948,Odorrana nasica
ott1062728,Odorrana tormota
ott14386,Odorrana hosii
ott14398,Odorrana chloronota
ott3618380,Odorrana leporipes
ott3618373,Odorrana graminea
ott659359,Odorrana aureola
ott915581,Odorrana livida
ott927650,Odorrana banaorum
ott927656,Odorrana morafkai
ott1062722,Odorrana tiannanensis
ott134138,Odorrana schmackeri
ott5223493,Odorrana huanggangensis
ott5223492,Odorrana tianmuii
ott440567,Odorrana hejiangensis
ott3618370,Odorrana nanjiangensis
ott511178,Odorrana hainanensis
ott927663,Odorrana bacboensis
ott485421,Odorrana ishikawae
ott305992,Odorrana khalam
ott657219,Odorrana absita
ott290001,Nidirana pleuraden
ott631560,Nidirana chapaensis
ott998736,Babina adenopleura
ott14688,Rana catesbeiana
ott755790,Rana heckscheri
ott755795,Rana okaloosae
ott515378,Rana clamitans
ott755786,Rana grylio
ott134323,Rana septentrionalis
ott755774,Rana virgatipes
ott14703,Rana pipiens
ott343215,Rana chiricahuensis
ott472861,Rana montezumae
ott947970,Rana dunni
ott61437,Rana sphenocephala
ott336757,Rana berlandieri
ott472853,Rana tlaloci
ott1041323,Rana neovolcanica
ott343219,Rana blairi
ott343221,Rana yavapaiensis
ott343227,Rana onca
ott464620,Rana magnaocularis
ott345976,Rana omiltemana
ott464624,Rana forreri
ott649265,Rana macroglossa
ott649271,Rana taylori
ott1053817,Rana brownorum
ott1041329,Rana spectabilis
ott413846,Rana areolata
ott472848,Rana capito
ott472870,Rana sevosa
ott791085,Rana palustris
ott422320,Rana pustulosa
ott422325,Rana tarahumarae
ott422328,Rana zweifeli
ott495308,Rana psilonota
ott4133608,Rana sierramadrensis
ott194287,Rana palmipes
ott897252,Rana bwana
ott422333,Rana vaillanti
ott422336,Rana juliani
ott371934,Rana vibicaria
ott397284,Lithobates warszewitschii
ott4133607,Rana maculata
ott4133597,Lithobates lemosespinali
ott4133598,Lithobates pueblae
ott4133599,Lithobates chichicuahutla
ott4133600,Lithobates megapoda
ott4133601,Lithobates johni
ott4133602,Lithobates miadis
ott4133610,Rana sylvatica
ott14694,Rana japonica
ott165298,Rana longicrus
ott309179,Rana culaiensis
ott1086513,Rana zhenhaiensis
ott452976,Rana hanluica
ott1086525,Rana omeimontis
ott1086524,Rana chaochiaoensis
ott339890,Rana kobai
ott339894,Rana ulma
ott1024869,Rana tsushimensis
ott448376,Nidirana okinavana
ott144719,Rana coreana
ott240410,Rana amurensis
ott595203,Rana ornativentris
ott595205,Rana chensinensis
ott887088,Rana huanrensis
ott691289,Rana kukunoris
ott595204,Rana pirica
ott918175,Rana dybowskii
ott95165,Rana sauteri
ott528714,Rana maoershanensis
ott887103,Rana tagoi
ott494875,Rana sakuraii
ott842743,Rana macrocnemis
ott384657,Rana tavasensis
ott384654,Rana pseudodalmatina
ott385904,Babina subaspera
ott835631,Babina holsti
ott871814,Rana latastei
ott886093,Rana dalmatina
ott886097,Rana graeca
ott14718,Rana temporaria
ott572749,Rana pyrenaica
ott448372,Rana arvalis
ott487647,Rana italica
ott875536,Rana iberica
ott448371,Rana asiatica
ott134156,Rana johnsi
ott198359,Rana zhengi
ott92820,Rana pretiosa
ott881566,Rana luteiventris
ott570336,Rana sierrae
ott923354,Rana muscosa
ott771201,Rana aurora
ott771205,Rana cascadae
ott771208,Rana boylii
ott198361,Rana shuchinae
ott597569,Rana draytonii
ott813985,Rana weiningensis
ott6996,Indosylvirana temporalis
ott770529,Indosylvirana aurantiaca
ott130110,Sylvirana cubitalis
ott134151,Sylvirana maosonensis
ott290014,Sylvirana spinulosa
ott585744,Sylvirana faber
ott938296,Sylvirana nigrovittata
ott134147,Indosylvirana milleti
ott1086971,Hydrophylax gracilis
ott989402,Papurana daemeli
ott1048550,Papurana jimiensis
ott1080056,Papurana arfaki
ott3618300,Papurana supragrisea
ott3618316,Papurana garritor
ott3618319,Papurana milneana
ott3618320,Papurana papua
ott3618324,Papurana waliesa
ott3618332,Papurana aurata
ott3618340,Papurana kreffti
ott3618344,Papurana volkerjane
ott310140,Hydrophylax malabaricus
ott7070882,Indosylvirana indica
ott59577,Pulchrana glandulosa
ott194609,Pulchrana baramica
ott610616,Pulchrana laterimaculata
ott920884,Pulchrana banjarana
ott390620,Pulchrana picturata
ott491951,Pulchrana signata
ott610591,Pulchrana siberu
ott3618311,Pulchrana similis
ott3618317,Pulchrana moellendorffi
ott3618321,Pulchrana grandocula
ott3618329,Pulchrana melanomenta
ott3618331,Pulchrana mangyanum
ott7070936,Pulchrana centropeninsularis
ott66421,Amnirana darlingi
ott72629,Amnirana nicobariensis
ott553273,Amnirana lepus
ott628820,Amnirana albolabris
ott870806,Amnirana galamensis
ott3618303,Amnirana asperrima
ott3618330,Amnirana occidentalis
ott3618338,Amnirana amnicola
ott7070871,Amnirana fonensis
ott245652,Hylarana mocquardi
ott340037,Hylarana chalconota
ott884266,Hylarana megalonesa
ott937574,Hylarana raniceps
ott884268,Hylarana parvacola
ott884278,Hylarana eschatia
ott937571,Hylarana labialis
ott134127,Hylarana taipehensis
ott134149,Hylarana macrodactyla
ott214619,Hylarana erythraea
ott783859,Humerana miopus
ott4133628,Humerana humeralis
ott4133629,Humerana oatesii
ott656221,Sylvirana guentheri
ott3618327,Sylvirana mortenseni
ott7070946,Sylvirana annamitica
ott7070947,Sylvirana lacrima
ott7070948,Sylvirana malayana
ott7070949,Sylvirana montosa
ott7070950,Sylvirana roberti
ott573973,Hydrophylax leptoglossa
ott735495,Abavorana luctuosa
ott884256,Hylarana rufipes
ott3618312,Hylarana macrops
ott3618318,Hylarana scutigera
ott3618337,Hylarana tytleri
ott3618343,Hylarana novaeguineae
ott3618345,Hylarana parkeriana
ott5810428,Hydrophylax bahuvistara
ott43288,Glandirana minima
ott447452,Rugosa emeljanovi
ott1034169,Rugosa rugosa
ott915564,Rugosa tientaiensis
ott107048,Sanguirana igorota
ott794163,Sanguirana luzonensis
ott452019,Sanguirana sanguinea
ott3618301,Sanguirana everetti
ott3618326,Sanguirana tipanan
ott5926242,Sanguirana aurantipunctata
ott3618409,Pterorana khare
ott14673,Pelophylax nigromaculatus
ott240390,Pelophylax plancyi
ott969628,Pelophylax chosenicus
ott915566,Pelophylax hubeiensis
ott885925,Pelophylax porosus
ott509500,Pelophylax fukienensis
ott14696,Pelophylax perezi
ott432328,Pelophylax saharicus
ott14708,Pelophylax ridibundus
ott557127,Pelophylax kurtmuelleri
ott1071564,Pelophylax epeiroticus
ott67958,Pelophylax caralitanus
ott742983,Pelophylax cerigensis
ott968743,Pelophylax bedriagae
ott442787,Pelophylax bergeri
ott941209,Pelophylax shqipericus
ott538075,Pelophylax cretensis
ott386601,Pelophylax lessonae
ott4133613,Pelophylax demarchii
ott4133617,Pelophylax terentievi
ott4133618,Pelophylax tenggerensis
ott5810373,Pelophylax cypriensis
ott43298,Amolops mantzorum
ott687289,Amolops loloensis
ott711497,Amolops tuberodepressus
ott1062711,Amolops jinjiangensis
ott95181,Amolops granulosus
ott521250,Amolops lifanensis
ott656241,Amolops viridimaculatus
ott95176,Amolops chunganensis
ott300849,Amolops bellulus
ott717979,Amolops marmoratus
ott717999,Amolops panhai
ott561265,Amolops cremnobatus
ott717986,Amolops larutensis
ott284230,Amolops hongkongensis
ott666459,Amolops daiyunensis
ott656232,Amolops ricketti
ott998701,Amolops wuyiensis
ott542272,Amolops hainanensis
ott656231,Amolops torrentis
ott899045,Amolops spinapectoralis
ott514537,Nidirana daunchina
