LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott246,Polioptila guianensis
ott3599111,Polioptila schistaceigula
ott3599112,Polioptila lactea
ott3599113,Polioptila lembeyei
ott443265,Polioptila albiloris
ott443272,Polioptila californica
ott443273,Polioptila melanura
ott1019726,Polioptila nigriceps
ott227269,Polioptila plumbea
ott443266,Polioptila caerulea
ott885158,Polioptila dumicola
ott6152054,Polioptila maior
ott976082,Microbates cinereiventris
ott1088732,Microbates collaris
ott227268,Ramphocaenus melanurus
ott18313,Thryophilus nicefori
ott18322,Thryophilus sernai
ott621908,Thryophilus rufalbus
ott859841,Thryothorus sinaloa
ott621898,Thryophilus pleurostictus
ott234410,Thryothorus leucopogon
ott298966,Thryothorus thoracicus
ott720616,Thryothorus modestus
ott932495,Thryothorus guarayanus
ott932491,Thryothorus leucotis
ott859834,Cantorchilus superciliaris
ott3599095,Cantorchilus griseus
ott7068223,Cantorchilus longirostris
ott7660049,Cantorchilus zeledoni
ott647109,Thryothorus nigricapillus
ott647111,Thryothorus semibadius
ott384290,Uropsila leucogastra
ott403167,Cyphorhinus phaeocephalus
ott881734,Cyphorhinus arada
ott4947667,Cyphorhinus thoracicus
ott234412,Thryothorus atrogularis
ott356968,Thryothorus maculipectus
ott647112,Thryothorus rutilus
ott234411,Thryothorus felix
ott859836,Thryothorus sclateri
ott285053,Thryothorus euophrys
ott859842,Thryothorus mystacalis
ott285059,Pheugopedius genibarbis
ott313316,Pheugopedius coraya
ott3599098,Pheugopedius spadix
ott3599099,Pheugopedius eisenmanni
ott808707,Thryothorus fasciatoventris
ott402970,Henicorhina leucosticta
ott1082236,Henicorhina leucophrys
ott784613,Henicorhina leucoptera
ott932501,Cinnycerthia peruana
ott3599103,Cinnycerthia olivascens
ott3599104,Cinnycerthia fulva
ott3599105,Cinnycerthia unirufa
ott3599110,Henicorhina negreti
ott7660055,Henicorhina anachoreta
ott932497,Thryomanes bewickii
ott777935,Thryomanes sissonii
ott777941,Thryothorus albinucha
ott1036137,Thryothorus ludovicianus
ott356961,Salpinctes obsoletus
ott356964,Catherpes sumichrasti
ott406675,Catherpes mexicanus
ott3599472,Hylorchilus navai
ott356973,Microcerculus marginatus
ott674302,Microcerculus ustulatus
ott784615,Microcerculus bambla
ott3599107,Microcerculus philomela
ott293378,Troglodytes aedon
ott402973,Thryorchilus browni
ott402975,Troglodytes rufociliatus
ott402974,Troglodytes rufulus
ott979210,Troglodytes ochraceus
ott402977,Troglodytes solstitialis
ott384301,Troglodytes hiemalis
ott409600,Troglodytes cobbi
ott259813,Troglodytes troglodytes
ott932500,Cistothorus platensis
ott932504,Cistothorus palustris
ott3599101,Cistothorus meridae
ott3599102,Cistothorus apolinari
ott3599089,Troglodytes tanneri
ott3599091,Troglodytes pacificus
ott3599093,Troglodytes monticola
ott7660073,Troglodytes browni
ott87938,Campylorhynchus yucatanicus
ott87948,Campylorhynchus chiapensis
ott1063180,Campylorhynchus griseus
ott87950,Campylorhynchus jocosus
ott87951,Campylorhynchus gularis
ott720620,Campylorhynchus rufinucha
ott800237,Campylorhynchus brunneicapillus
ott87949,Campylorhynchus albobrunneus
ott720622,Campylorhynchus zonatus
ott360546,Campylorhynchus fasciatus
ott251339,Campylorhynchus megalopterus
ott744785,Campylorhynchus nuchalis
ott87955,Campylorhynchus turdinus
ott3599108,Campylorhynchus capistratus
ott3599109,Campylorhynchus humilis
ott356971,Odontorchilus cinereus
ott3599106,Odontorchilus branickii
ott3599505,Ferminia cerverai
ott856525,Certhia hodgsoni
ott1007196,Certhia familiaris
ott697024,Certhia americana
ott1007172,Certhia brachydactyla
ott737469,Certhia nipalensis
ott856513,Certhia tianquanensis
ott856520,Certhia himalayana
ott856514,Certhia discolor
ott856515,Certhia manipurensis
ott82242,Sitta europaea
ott3599047,Sitta nagaensis
ott3599051,Sitta cashmirensis
ott3599049,Sitta cinnamoventris
ott82248,Sitta himalayensis
ott1076198,Sitta neumayer
ott1076201,Sitta tephronota
ott3599052,Sitta formosa
ott82233,Sitta whiteheadi
ott82239,Sitta villosa
ott603923,Sitta canadensis
ott82236,Sitta ledanti
ott82237,Sitta krueperi
ott3599045,Sitta yunnanensis
ott82240,Sitta pygmaea
ott377450,Sitta pusilla
ott82249,Sitta frontalis
ott3599050,Sitta oenochlamys
ott3599044,Sitta azurea
ott82247,Sitta carolinensis
ott3599053,Sitta magna
ott178812,Sitta castanea
ott950510,Sitta arctica
ott3599041,Sitta przewalskii
ott3599042,Sitta solangiae
ott3599043,Sitta neglecta
ott3599046,Sitta victoriae
ott3599048,Sitta leucopsis
ott946707,Salpornis salvadori
ott601610,Salpornis spilonota
ott452744,Tichodroma muraria
ott3599436,Regulus madeirensis
ott3599741,Regulus ignicapilla
ott3599842,Regulus goodfellowi
ott3599325,Regulus satrapa
ott3599890,Regulus calendula
ott1566,Rhyacornis fuliginosa
ott69437,Rhyacornis bicolor
ott33126,Chaimarrornis leucocephalus
ott33133,Phoenicurus ochruros
ott33134,Phoenicurus auroreus
ott676562,Phoenicurus moussieri
ott1093902,Phoenicurus phoenicurus
ott69439,Phoenicurus hodgsoni
ott788699,Phoenicurus erythrogastrus
ott33131,Phoenicurus schisticeps
ott462164,Phoenicurus frontalis
ott795156,Phoenicurus erythronotus
ott69434,Phoenicurus caeruleocephala
ott3598157,Phoenicurus alaschanicus
ott33124,Oenanthe isabellina
ott936545,Oenanthe bottae
ott936542,Oenanthe pileata
ott1092950,Oenanthe oenanthe
ott554159,Oenanthe hispanica
ott936541,Oenanthe pleschanka
ott936540,Oenanthe cypriaca
ott619182,Oenanthe deserti
ott410718,Oenanthe monacha
ott410714,Oenanthe leucopyga
ott410713,Oenanthe leucura
ott410719,Oenanthe lugens
ott936543,Oenanthe xanthoprymna
ott936546,Oenanthe chrysopygia
ott410726,Oenanthe finschii
ott410709,Oenanthe albonigra
ott936539,Oenanthe picata
ott434289,Cercomela fusca
ott415722,Cercomela familiaris
ott434293,Cercomela melanura
ott936538,Oenanthe moesta
ott434291,Cercomela dubia
ott959973,Cercomela scotocerca
ott275114,Oenanthe phillipsi
ott434294,Cercomela schlegelii
ott959972,Cercomela sinuata
ott959974,Cercomela tractrac
ott959975,Cercomela sordida
ott696975,Campicoloides bifasciatus
ott153328,Myrmecocichla aethiops
ott256340,Myrmecocichla tholloni
ott556176,Myrmecocichla arnotti
ott912328,Myrmecocichla melaena
ott936581,Myrmecocichla nigra
ott715024,Myrmecocichla formicivora
ott7660947,Myrmecocichla monticola
ott936586,Thamnolaea cinnamomeiventris
ott936590,Thamnolaea semirufa
ott122863,Saxicola gutturalis
ott825647,Saxicola dacotiae
ott811041,Saxicola tectes
ott825641,Saxicola torquata
ott173999,Saxicola insignis
ott811035,Saxicola caprata
ott696973,Saxicola leucurus
ott170383,Saxicola rubetra
ott173998,Saxicola jerdoni
ott760327,Saxicola ferreus
ott3598834,Saxicola macrorhynchus
ott653933,Monticola solitarius
ott957844,Monticola saxatilis
ott916113,Monticola cinclorhyncha
ott957841,Monticola rufiventris
ott957842,Monticola gularis
ott341214,Monticola sharpei
ott916111,Monticola erythronotus
ott1098178,Monticola imerinus
ott432006,Monticola explorator
ott432007,Monticola brevipes
ott432001,Monticola angolensis
ott432005,Monticola rupestris
ott957843,Monticola rufocinereus
ott408566,Calliope pectoralis
ott22300,Ficedula hypoleuca
ott107840,Ficedula albicollis
ott629342,Ficedula semitorquata
ott416087,Ficedula parva
ott859519,Ficedula albicilla
ott859520,Ficedula subrubra
ott130294,Ficedula rufigula
ott284698,Ficedula buruensis
ott284708,Ficedula bonthaina
ott174772,Ficedula disposita
ott284694,Ficedula platenae
ott284700,Ficedula dumetoria
ott909204,Ficedula nigrorufa
ott284693,Ficedula crypta
ott3598140,Ficedula basilanica
ott284695,Ficedula harterti
ott909201,Ficedula timorensis
ott67150,Ficedula mugimaki
ott1058850,Ficedula tricolor
ott859509,Ficedula hyperythra
ott284707,Ficedula westermanni
ott909205,Ficedula superciliaris
ott909203,Ficedula sapphira
ott859518,Ficedula strophiata
ott547548,Ficedula zanthopygia
ott3598138,Ficedula elisae
ott131996,Ficedula narcissina
ott5859958,Ficedula narcissina owstoni
ott35350,Myiomela leucura
ott35354,Myiomela diana
