LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott6024802,Musa arunachalensis
ott237,Podocarpus annamiensis
ott61780,Podocarpus macrophyllus
ott203268,Podocarpus neriifolius
ott709250,Podocarpus nakaii
ott461867,Podocarpus fasciculus
ott212906,Podocarpus chingianus
ott238584,Podocarpus costalis
ott615992,Podocarpus subtropicalis
ott615994,Podocarpus spathoides
ott615998,Podocarpus salomoniensis
ott768702,Podocarpus brevifolius
ott194516,Podocarpus affinis
ott445428,Podocarpus bracteatus
ott616003,Podocarpus rubens
ott802432,Podocarpus pilgeri
ott983456,Podocarpus archboldii
ott616005,Podocarpus ramosii
ott461852,Podocarpus brassii
ott913,Podocarpus polyspermus
ott464613,Podocarpus sylvestris
ott918,Podocarpus lucienii
ott938,Podocarpus novae-caledoniae
ott407274,Podocarpus elatus
ott573558,Podocarpus polystachyus
ott461859,Podocarpus grayae
ott616001,Podocarpus rumphii
ott920,Podocarpus longifoliolatus
ott573566,Podocarpus spinulosus
ott625847,Podocarpus drouynianus
ott625829,Podocarpus dispermus
ott915,Podocarpus parlatorei
ott768689,Podocarpus lambertii
ott934,Podocarpus nubigenus
ott159528,Podocarpus salignus
ott930,Podocarpus latifolius
ott623612,Podocarpus milanjianus
ott768693,Podocarpus elongatus
ott620751,Podocarpus henkelii
ott42988,Podocarpus urbanii
ott616010,Podocarpus purdieanus
ott951054,Podocarpus angustifolius
ott951066,Podocarpus aristulatus
ott212904,Podocarpus costaricensis
ott244585,Podocarpus coriaceus
ott615990,Podocarpus trinitensis
ott615996,Podocarpus sellowii
ott755783,Podocarpus guatemalensis
ott944,Podocarpus matudae
ott768691,Podocarpus hispaniolensis
ott1027177,Podocarpus oleifolius
ott924,Podocarpus lawrencei
ott461856,Podocarpus gnidioides
ott942,Podocarpus nivalis
ott52910,Podocarpus acutifolius
ott700838,Podocarpus totara
ott76522,Podocarpus sprucei
ott76525,Podocarpus rusbyi
ott76527,Podocarpus pseudobracteatus
ott304173,Podocarpus gibbsiae
ott304176,Podocarpus ledermannii
ott573564,Podocarpus smithii
ott597862,Podocarpus pallidus
ott597867,Podocarpus madagascariensis
ott597870,Podocarpus magnifolius
ott597874,Podocarpus deflexus
ott597878,Podocarpus glaucus
ott672479,Podocarpus forrestii
ott768695,Podocarpus ekmanii
ott768704,Podocarpus beecherae
ott939674,Podocarpus insularis
ott1022065,Podocarpus decumbens
ott1022067,Podocarpus decipiens
ott1022070,Podocarpus celatus
ott1022077,Podocarpus brasiliensis
ott1022079,Podocarpus capuronii
ott1092067,Podocarpus degeneri
ott3866738,Podocarpus roraimae
ott3866739,Podocarpus teysmannii
ott3866741,Podocarpus salicifolius
ott3866742,Podocarpus aracensis
ott3866743,Podocarpus perrieri
ott3866744,Podocarpus pendulifolius
ott3866745,Podocarpus confertus
ott3866747,Podocarpus laubenfelsii
ott3866749,Podocarpus levis
ott3866750,Podocarpus steyermarkii
ott3866751,Podocarpus rostratus
ott3866753,Podocarpus transiens
ott3866754,Podocarpus acuminatus
ott3866755,Podocarpus macrocarpus
ott3866756,Podocarpus micropedunculatus
ott3866757,Podocarpus globulus
ott3866758,Podocarpus borneensis
ott3866759,Podocarpus atjehensis
ott3866760,Podocarpus tepuiensis
ott3866762,Podocarpus buchii
ott3866763,Podocarpus glomeratus
ott3866764,Podocarpus palawanensis
ott3866765,Podocarpus lophatus
ott3866766,Podocarpus ridleyi
ott3866767,Podocarpus humbertii
ott6011618,Podocarpus orarius
ott445439,Nageia motleyi
ott672478,Nageia wallichiana
ott983645,Nageia nagi
ott1043669,Nageia fleuryi
ott3866734,Nageia maxima
ott207209,Afrocarpus falcatus
ott875161,Afrocarpus gracilior
ott820316,Afrocarpus mannii
ott1072410,Afrocarpus usambarensis
ott1072412,Afrocarpus dawei
ott61757,Retrophyllum minus
ott159497,Retrophyllum comptonii
ott257429,Retrophyllum vitiense
ott227579,Retrophyllum rospigliosii
ott3866768,Retrophyllum piresii
ott54153,Dacrycarpus dacrydioides
ott238567,Dacrycarpus imbricatus
ott232765,Dacrycarpus compactus
ott820314,Dacrycarpus cinctus
ott820318,Dacrycarpus kinabaluensis
ott884343,Dacrycarpus cumingii
ott906747,Dacrycarpus vieillardii
ott944127,Dacrycarpus expansus
ott3866735,Dacrycarpus steupii
ott59279,Dacrydium nausoriense
ott59282,Dacrydium nidulum
ott884341,Dacrydium balansae
ott820320,Dacrydium lycopodioides
ott884338,Dacrydium araucarioides
ott884347,Dacrydium guillauminii
ott194518,Dacrydium magnum
ott448148,Dacrydium xanthandrum
ott828861,Dacrydium elatum
ott820322,Dacrydium beccarii
ott207233,Dacrydium cupressinum (species in kingdom Archaeplastida)
ott445432,Dacrydium gibbsiae
ott1043671,Dacrydium pectinatum
ott3866772,Dacrydium comosum
ott3866773,Dacrydium novoguineense
ott3866774,Dacrydium ericoides
ott3866776,Dacrydium spathoides
ott3866777,Dacrydium medium
ott3866779,Dacrydium gracile
ott3866780,Dacrydium leptophyllum
ott3866782,Dacrydium cornwallianum
ott286655,Falcatifolium gruezoi
ott194510,Falcatifolium falciforme
ott582863,Falcatifolium taxoides
ott884349,Falcatifolium papuanum
ott3866770,Falcatifolium sleumeri
ott3866771,Falcatifolium angustum
ott10216,Acmopyle pancheri
ott884337,Acmopyle sahniana
ott194514,Pherosphaera hookeriana
ott207220,Pherosphaera fitzgeraldii
ott207207,Microcachrys tetragona
ott700834,Saxegothaea conspicua
ott196926,Phyllocladus toatoa
ott700840,Phyllocladus hypophyllus
ott52906,Phyllocladus aspleniifolius
ott238577,Phyllocladus trichomanoides
ott309859,Lepidothamnus fonkii
ott309864,Lepidothamnus laxifolius
ott628845,Lepidothamnus intermedius
ott309851,Halocarpus bidwillii
ott309855,Halocarpus kirkii
ott309857,Halocarpus biformis
ott76520,Prumnopitys exigua
ott154872,Sundacarpus amarus
ott159509,Prumnopitys andina
ott700836,Prumnopitys taxifolia
ott573555,Prumnopitys ferruginea
ott573556,Prumnopitys ferruginoides
ott573557,Prumnopitys ladei
ott799673,Prumnopitys montana
ott874984,Prumnopitys harmsiana
ott3866785,Prumnopitys standleyi
ott207236,Lagarostrobos franklinii
ott309869,Manoao colensoi
ott399688,Parasitaxus usta
ott10217,Agathis australis
ott77873,Agathis atropurpurea
ott625730,Agathis microstachya
ott128576,Agathis robusta
ott128572,Agathis dammara
ott262920,Agathis borneensis
ott887858,Agathis silbae
ott1020069,Agathis macrophylla
ott341893,Agathis moorei
ott625424,Agathis ovata
ott494288,Agathis lanceolata
ott128573,Agathis montana de Laub. 1969
ott3866975,Agathis flavescens
ott3866980,Agathis orbicula
ott3866981,Agathis kinabaluensis
ott3866982,Agathis labillardierei
ott3866983,Agathis lenticula
ott625420,Wollemia nobilis
ott85997,Araucaria heterophylla
ott128566,Araucaria columnaris
ott753661,Araucaria luxurians
ott753666,Araucaria nemorosa
ott128567,Araucaria humboldtensis
ott753662,Araucaria laubenfelsii
ott753665,Araucaria rulei
ott128578,Araucaria bernieri
ott753671,Araucaria schmidii
ott753672,Araucaria subulata
ott753667,Araucaria scopulorum
ott128581,Araucaria biramulata
ott753664,Araucaria montana
ott1020074,Araucaria cunninghamii
ott963047,Araucaria araucana
ott1020072,Araucaria angustifolia
ott1020073,Araucaria bidwillii
ott1020079,Araucaria hunsteinii
ott1020081,Araucaria muelleri
ott740296,Juniperus phoenicea
ott86522,Juniperus procumbens
ott238573,Juniperus chinensis
ott340326,Juniperus thurifera
ott814110,Juniperus procera
ott164269,Juniperus tibetica
ott204012,Juniperus saltuaria
ott878339,Juniperus przewalskii
ott204019,Juniperus pingii
ott254302,Juniperus indica
ott992446,Juniperus squamata
ott895936,Juniperus recurva
ott517891,Juniperus convallium
ott517895,Juniperus komarovii
ott510200,Juniperus pseudosabina
ott254315,Juniperus coahuilensis
ott517875,Juniperus comitana
ott517879,Juniperus angosturana
ott911827,Juniperus pinchotii
ott535589,Juniperus monosperma
ott267773,Juniperus deppeana
ott517883,Juniperus deppeana var. gamboana
ott319654,Juniperus durangensis
ott335576,Juniperus saltillensis
ott335556,Juniperus californica
ott836791,Juniperus ashei
ott335570,Juniperus osteosperma
ott335572,Juniperus occidentalis
ott895046,Juniperus flaccida
