LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott42,Hypogeomys antimena
ott276752,Nesomys rufus
ott350331,Nesomys audeberti
ott3608555,Nesomys lambertoni
ott277060,Brachyuromys ramirohitra
ott441611,Brachyuromys betsileoensis
ott277070,Monticolomys koopmani
ott463472,Macrotarsomys ingens
ott611279,Macrotarsomys bastardi
ott277053,Eliurus minor
ott277055,Eliurus myoxinus
ott550182,Eliurus webbi
ott441620,Eliurus ellermani
ott550180,Eliurus tanala
ott277058,Eliurus majori
ott693853,Eliurus antsingy
ott277057,Eliurus grandidieri
ott459975,Voalavo gymnocaudus
ott4941059,Voalavo antsahabensis
ott693851,Eliurus carletoni
ott3608550,Eliurus petteri
ott3608551,Eliurus penicillatus
ott3608552,Eliurus danieli
ott441617,Gymnuromys roberti
ott441614,Brachytarsomys albicauda
ott3608553,Brachytarsomys villosa
ott91072,Mystromys albicaudatus
ott441607,Petromyscus collinus
ott668842,Petromyscus monticularis
ott3608548,Petromyscus barbouri
ott3608549,Petromyscus shortridgei
ott3610305,Delanymys brooksi
ott254740,Dendromus mystacalis
ott565421,Dendromus nyikae
ott1050970,Dendromus mesomelas
ott3608538,Dendromus lovati
ott3608539,Dendromus messorius
ott3608540,Dendromus oreas
ott3608541,Dendromus leucostomus
ott3608542,Dendromus insignis
ott3608544,Dendromus vernayi
ott3608546,Dendromus melanotis
ott3608547,Dendromus kahuziensis
ott3610450,Dendromus nikolausi
ott3608543,Dendromus nyasae
ott7654847,Dendromus lachaisei
ott600700,Malacothrix typica
ott3610280,Dendroprionomys rousseloti
ott3610761,Prionomys batesi
ott1018047,Steatomys parvus
ott3608530,Steatomys krebsii
ott3608531,Steatomys opimus
ott3608532,Steatomys bocagei
ott3608533,Steatomys cuppedius
ott3608534,Steatomys jacksoni
ott3608535,Steatomys caurinus
ott3608536,Steatomys pratensis
ott465268,Cricetomys ansorgei
ott922511,Cricetomys gambianus
ott611277,Cricetomys emini
ott3608528,Cricetomys kivuensis
ott766447,Beamys hindei
ott3608526,Beamys major
ott3608527,Saccostomus mearnsi
ott5852633,Saccostomus umbriventer
ott53782,Saccostomus campestris
ott542509,Mus musculus
ott845973,Mus macedonicus
ott845976,Mus spicilegus
ott542521,Mus spretus
ott348560,Mus terricolor
ott1027340,Mus famulus
ott451263,Mus booduga
ott1010350,Mus fragilicauda
ott542528,Mus cookii
ott542519,Mus cervicolor
ott922493,Mus caroli
ott542525,Mus saxicola
ott845970,Mus platythrix
ott185328,Mus crociduroides
ott542493,Mus pahari
ott289304,Mus triton
ott844282,Mus bufo
ott845980,Mus setulosus
ott759679,Mus mattheyi
ott1000702,Mus haussa
ott845966,Mus minutoides
ott996648,Mus musculoides
ott1000695,Mus indutus
ott3608901,Mus neavei
ott369735,Mus baoulei
ott844274,Mus sorella
ott844277,Mus tenellus
ott887682,Mus shortridgei
ott3608880,Mus phillipsi
ott3608881,Mus goundae
ott3608883,Mus callewaerti
ott3608885,Mus vulcani
ott3608886,Mus fernandoni
ott3608890,Mus setzeri
ott3608899,Mus oubanguii
ott3608904,Mus orangiae
ott3610601,Muriculus imberbis
ott5857435,Mus mahomet
ott23039,Colomys goslingi
ott194428,Zelotomys hildegardeae
ott3608750,Zelotomys woosnami
ott3610995,Nilopegamys plumbeus
ott1057551,Myomyscus verreauxii
ott170803,Stenocephalemys griseicauda
ott634946,Stenocephalemys albipes
ott3608657,Stenocephalemys ruppi
ott170809,Stenocephalemys albocaudata
ott185326,Mastomys erythroleucus
ott445489,Mastomys awashensis
ott271584,Mastomys natalensis
ott911452,Mastomys huberti
ott216878,Mastomys coucha
ott481169,Mastomys kollmannspergeri
ott3608621,Mastomys shortridgei
ott1057554,Myomyscus yemeni
ott1057562,Myomyscus brockmani
ott3608627,Myomyscus angolensis
ott23041,Praomys delectorum
ott143562,Mastomys pernanus
ott143561,Hylomyscus parvus
ott844520,Hylomyscus alleni
ott185338,Hylomyscus stella
ott169550,Hylomyscus aeta
ott565395,Hylomyscus denniae
ott5341173,Hylomyscus denniae vulcanorum
ott169552,Hylomyscus baeri
ott541011,Hylomyscus grandis
ott3608636,Hylomyscus carillus
ott169554,Hylomyscus simus
ott212549,Hylomyscus walterverheyeni
ott342264,Hylomyscus kaimosae
ott493359,Hylomyscus anselli
ott767228,Hylomyscus pamfi
ott5340682,Hylomyscus arcimontensis
ott5340683,Hylomyscus endorobae
ott5852652,Hylomyscus kerbispeterhansi
ott6144893,Hylomyscus heinrichorum
ott194430,Heimyscus fumosus
ott271591,Praomys daltoni
ott691119,Praomys obscurus
ott1004217,Praomys hartwigi
ott717795,Praomys petteri
ott717792,Praomys misonnei
ott717794,Praomys tullbergi
ott717793,Praomys jacksoni
ott829503,Praomys mutoni
ott1004216,Praomys degraaffi
ott298251,Praomys lukolelae
ott308388,Praomys verschureni
ott298253,Praomys minor
ott691123,Praomys morio
ott756894,Praomys rostratus
ott4117333,Praomys coetzeei
ott1729,Apodemus iconicus
ott429364,Apodemus pallipes
ott1087647,Apodemus uralensis
ott794922,Apodemus sylvaticus
ott883091,Apodemus ponticus
ott1088760,Apodemus flavicollis
ott1085351,Apodemus alpicola
ott926226,Apodemus witherbyi
ott1085349,Apodemus mystacinus
ott644322,Apodemus gurkha
ott663824,Apodemus argenteus
ott397731,Apodemus epimelas
ott351537,Apodemus agrarius
ott588266,Apodemus chevrieri
ott644308,Apodemus peninsulae
ott588269,Apodemus draco
ott1046532,Apodemus latronum
ott644310,Apodemus speciosus
ott665361,Apodemus ilex
ott3608833,Apodemus rusiges
ott3608834,Apodemus hyrcanicus
ott98227,Tokudaia muenninki
ott932552,Tokudaia tokunoshimensis
ott458647,Tokudaia osimensis
ott371840,Malacomys edwardsi
ott685881,Malacomys cansdalei
ott782347,Malacomys longipes
ott3610383,Vandeleuria nolthenii
ott3610384,Vandeleuria oleracea
ott3610591,Vandeleuria nilagirica
ott125766,Otomys laminatus
ott433656,Otomys saundersiae
ott647412,Otomys occidentalis
ott981157,Otomys burtoni
ott647408,Otomys typus
ott305315,Otomys typus helleri
ott1085986,Otomys typus fortior
ott386295,Otomys irroratus
ott486273,Otomys angoniensis
ott386285,Parotomys brantsii
ott386287,Parotomys littledalei
ott433648,Myotomys sloggetti
ott647417,Myotomys unisulcatus
ott125769,Otomys anchietae
ott860095,Otomys lacustris
ott647409,Otomys tropicalis
ott125765,Otomys denti
ott860099,Otomys denti sungae
ott389972,Otomys dartmouthi
ott981154,Otomys orestes
ott981144,Otomys orestes zinki
ott981150,Otomys jacksoni
ott981164,Otomys barbouri
ott1085979,Otomys simiensis
ott3608822,Otomys dollmani
ott3608823,Otomys uzungwensis
ott3608824,Otomys cuanzensis
ott6144912,Otomys cheesmani
ott6144913,Otomys thomasi
ott6144914,Otomys yaldeni
ott154793,Hybomys lunaris
ott666961,Hybomys univittatus
ott3608670,Hybomys trivirgatus
ott3608671,Hybomys planifrons
ott3608672,Hybomys badius
ott3608674,Hybomys basilii
ott324500,Stochomys longicaudatus
ott685867,Dephomys defua
ott3608826,Dephomys eburneae
ott167551,Lemniscomys griselda
ott771874,Lemniscomys barbarus
ott686845,Lemniscomys bellieri
ott911464,Lemniscomys macculus
ott1071848,Lemniscomys rosalia
ott911453,Lemniscomys zebra
ott911461,Lemniscomys striatus
ott3608758,Lemniscomys roseveari
ott3608759,Lemniscomys mittendorfi
ott3608760,Lemniscomys hoogstraali
ott3608761,Lemniscomys linulus
ott481620,Arvicanthis nairobae
ott686838,Arvicanthis niloticus
ott686841,Arvicanthis abyssinicus
ott911456,Arvicanthis neumanni
ott743637,Arvicanthis ansorgei
ott3608718,Arvicanthis blicki
ott3608719,Arvicanthis rufinus
ott170594,Desmomys harringtoni
ott3608637,Desmomys yaldeni
ott386299,Rhabdomys pumilio
ott224251,Rhabdomys dilectus
ott7067468,Rhabdomys bechuanae
ott170597,Mylomys dybowskii
ott386290,Pelomys campanae
ott386292,Pelomys fallax
ott3608654,Pelomys minor
ott3608655,Pelomys isseli
ott3608656,Pelomys hopkinsi
ott411031,Aethomys ineptus
ott911457,Aethomys chrysophilus
ott649436,Aethomys kaiseri
ott3608709,Aethomys silindensis
ott3608710,Aethomys nyikae
ott3608711,Aethomys hindei
