LABELS
    #use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

    #lines starting with a hash are comments and ignored during parsing

    #=================================================================#
    #                    MANDATORY SETTINGS                           #
    #=================================================================#
    #select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

    #SEPARATOR TAB
    #SEPARATOR SPACE
    SEPARATOR COMMA

    #Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
    #=================================================================#
    #       Actual data follows after the "DATA" keyword              #
    #=================================================================#
    DATA
    #NODE_ID,LABEL
ott1080294,Myotis emarginatus
ott821953,Lycaon pictus
ott408359,Dusicyon australis
ott912130,Caiman crocodilus
ott699848,Caiman latirostris
ott788419,Caiman yacare
ott828655,Paleosuchus palpebrosus
ott953138,Paleosuchus trigonatus
ott953147,Melanosuchus niger
ott335590,Alligator mississippiensis
ott953151,Alligator sinensis
ott35864,Crocodylus niloticus
ott35869,Crocodylus novaeguineae
ott35872,Crocodylus porosus
ott333784,Crocodylus siamensis
ott458957,Crocodylus palustris
ott458963,Crocodylus rhombifer
ott458970,Crocodylus mindorensis
ott458975,Crocodylus moreletii
ott458978,Crocodylus johnsoni
ott870591,Crocodylus acutus
ott1035832,Crocodylus intermedius
ott5223435,Crocodylus suchus
ott180825,Mecistops cataphractus
ott7657687,Mecistops leptorhynchus
ott1035828,Osteolaemus tetraspis
ott881015,Gavialis gangeticus
ott1035823,Tomistoma schlegelii
ott2982,Emydura victoriae
ott136733,Emydura tanybaraga
ott235771,Elseya dentata
ott420318,Elseya albagula
ott469659,Elseya novaeguineae
ott477963,Elseya branderhorsti
ott952549,Elseya lavarackorum
ott952550,Elseya irwini
ott6156382,Elseya flaviventralis
ott7068943,Elseya schultzei
ott7664125,Elseya rhodini
ott1013512,Rheodytes leukops
ott562290,Myuchelys georgesi
ott562326,Myuchelys latisternum
ott2572,Emydura macquarii
ott3606117,Emydura australis
ott198154,Emydura subglobosa
ott93442,Myuchelys purvisi
ott557461,Elusor macrurus
ott469690,Myuchelys bellii
ott235762,Chelodina oblonga
ott235769,Chelodina longicollis
ott340378,Chelodina reimanni
ott340380,Chelodina pritchardi
ott395836,Chelodina novaeguineae
ott508306,Chelodina parkeri
ott642964,Chelodina expansa
ott940288,Chelodina mccordi
ott3606122,Chelodina steindachneri
ott5548768,Chelodina burrungandjii
ott5925812,Chelodina colliei
ott7068942,Chelodina canni
ott7664120,Chelodina gunaleni
ott7664121,Chelodina kuchlingi
ott7664122,Chelodina walloyarrina
ott507380,Pseudemydura umbrina
ott19159,Acanthochelys macrocephala
ott477943,Acanthochelys spixii
ott565695,Acanthochelys pallidipectoris
ott682380,Acanthochelys radiolata
ott709464,Platemys platycephala
ott66457,Phrynops hilarii
ott460709,Phrynops geoffroanus
ott477949,Phrynops williamsi
ott3606124,Phrynops tuberosus
ott620267,Mesoclemmys hogei
ott508309,Mesoclemmys nasuta
ott701152,Mesoclemmys gibba
ott904196,Mesoclemmys dahli
ott904202,Mesoclemmys zuliae
ott944918,Mesoclemmys tuberculata
ott944923,Mesoclemmys raniceps
ott944927,Mesoclemmys heliostemma
ott944935,Mesoclemmys vanderhaegei
ott235773,Chelus fimbriata
ott357173,Hydromedusa tectifera
ott1086675,Hydromedusa maximiliani
ott996174,Rhinemys rufipes
ott10573,Pelusios adansonii
ott10577,Pelusios upembae
ott10581,Pelusios bechuanicus
ott10583,Pelusios nanus
ott149795,Pelusios williamsi
ott486678,Pelusios subniger
ott471348,Pelusios gabonensis
ott235190,Pelusios sinuatus
ott775044,Pelomedusa subrufa
ott5819767,Pelomedusa olivacea
ott5819768,Pelomedusa somalica
ott5819769,Pelomedusa gehafie
ott5819770,Pelomedusa schweinfurthi
ott5819771,Pelomedusa galeata
ott5819772,Pelomedusa kobe
ott5819774,Pelomedusa neumanni
ott5819775,Pelomedusa barbata
ott5819776,Pelomedusa variabilis
ott419097,Pelusios castanoides
ott394412,Pelusios castaneus
ott419093,Pelusios carinatus
ott419100,Pelusios chapini
ott419111,Pelusios broadleyi
ott419117,Pelusios cupulatta
ott419119,Pelusios marani
ott996190,Pelusios niger
ott996193,Pelusios rhodesianus
ott211855,Podocnemis lewyana
ott674543,Podocnemis erythrocephala
ott528625,Podocnemis unifilis
ott674547,Podocnemis sextuberculata
ott674544,Podocnemis vogli
ott709468,Podocnemis expansa
ott775068,Erymnochelys madagascariensis
ott540332,Peltocephalus dumerilianus
ott3697,Palea steindachneri
ott33418,Amyda cartilaginea
ott419102,Nilssonia gangetica
ott854440,Nilssonia leithii
ott623211,Nilssonia formosa
ott419107,Nilssonia hurum
ott861371,Nilssonia nigricans
ott828072,Dogania subplana
ott30435,Pelodiscus axenaria
ott249532,Pelodiscus parviformis
ott504669,Pelodiscus maackii
ott143391,Pelodiscus sinensis
ott149798,Apalone spinifera
ott378502,Apalone ferox
ott598956,Apalone mutica
ott306732,Rafetus swinhoei
ott623208,Rafetus euphraticus
ott101476,Chitra vandijki
ott402510,Chitra chitra
ott402511,Chitra indica
ott402522,Pelochelys cantorii
ott895649,Pelochelys bibroni
ott3606174,Pelochelys signifera
ott598954,Trionyx triunguis
ott5827921,Amyda ornata
ott619852,Lissemys punctata
ott101468,Lissemys scutata
ott5925809,Lissemys ceylonensis
ott101463,Cyclanorbis elegans
ott101464,Cyclanorbis senegalensis
ott101465,Cycloderma aubryi
ott101466,Cycloderma frenatum
ott810244,Carettochelys insculpta
ott6859,Cuora mccordi
ott85387,Cuora galbinifrons
ott26430,Cuora trifasciata
ott905071,Cuora aurocapitata
ott26431,Cuora pani
ott711704,Cuora zhoui
ott26440,Cuora yunnanensis
ott85384,Cuora flavomarginata
ott354928,Cuora mouhotii
ott377074,Cuora bourreti
ott377078,Cuora picturata
ott626958,Cuora amboinensis
ott26434,Mauremys japonica
ott879764,Mauremys sinensis
ott829098,Mauremys reevesii
ott591393,Mauremys nigricans
ott552142,Mauremys caspica
ott1078568,Mauremys rivulata
ott26437,Mauremys leprosa
ott85372,Mauremys annamensis
ott679467,Mauremys mutica
ott33171,Cyclemys gemeli
ott537636,Cyclemys fusca
ott54221,Cyclemys dentata
ott615604,Cyclemys pulchristriata
ott879761,Cyclemys atripons
ott94176,Cyclemys oldhami
ott6156010,Cyclemys enigmatica
ott711698,Notochelys platynota
ott54216,Heosemys grandis
ott354945,Heosemys depressa
ott354932,Heosemys annandalii
ott619859,Heosemys spinosa
ott105481,Sacalia quadriocellata
ott137549,Sacalia bealei
ott782430,Leucocephalon yuwonoi
ott105484,Melanochelys trijuga
ott469686,Melanochelys tricarinata
ott1069292,Vijayachelys silvatica
ott7583,Batagur trivittata
ott340373,Batagur borneoensis
ott340369,Batagur dhongoka
ott361285,Batagur baska
ott859923,Batagur kachuga
ott154908,Batagur affinis
ott711706,Hardella thurjii
ott115586,Pangshura tentoria
ott61733,Pangshura smithii
ott437360,Pangshura tecta
ott748759,Pangshura sylhetensis
ott679473,Morenia ocellata
ott872526,Morenia petersi
ott879770,Geoclemys hamiltonii
ott105476,Orlitia borneensis
ott679463,Malayemys subtrijuga
ott935350,Malayemys macrocephala
ott5925806,Malayemys khoratensis
ott54218,Siebenrockiella crassicollis
ott319837,Siebenrockiella leytensis
ott85379,Geoemyda japonica
ott105478,Geoemyda spengleri
ott203555,Rhinoclemmys punctularia
ott727051,Rhinoclemmys diademata
ott203557,Rhinoclemmys melanosterna
ott727054,Rhinoclemmys funerea
ott727052,Rhinoclemmys areolata
ott203569,Rhinoclemmys pulcherrima
ott727059,Rhinoclemmys annulata
ott727058,Rhinoclemmys rubida
ott737459,Rhinoclemmys nasuta
ott859764,Pyxis arachnoides
ott859765,Pyxis planicauda
ott93887,Aldabrachelys gigantea
ott859767,Astrochelys radiata
ott940487,Astrochelys yniphora
ott249978,Chelonoidis duncanensis
ott292235,Chelonoidis phantasticus
ott564318,Chelonoidis darwini
ott564324,Chelonoidis becki
ott720292,Chelonoidis porteri
ott1090871,Chelonoidis vicina
ott1090883,Chelonoidis hoodensis
ott1090887,Chelonoidis chathamensis
ott7068932,Chelonoidis guntheri
ott7068933,Chelonoidis microphyes
ott7068934,Chelonoidis vandenburghi
ott477704,Chelonoidis chilensis
ott560352,Chelonoidis carbonarius
ott1050326,Chelonoidis denticulatus
ott5925807,Chelonoidis donfaustoi
ott410009,Kinixys erosa
ott990946,Kinixys spekii
ott1041239,Kinixys belliana
ott990947,Kinixys natalensis
ott1041243,Kinixys homeana
ott3606318,Kinixys lobatsiana
ott5551700,Kinixys nogueyi
ott5553931,Kinixys zombensis
ott302068,Geochelone elegans
ott464474,Geochelone platynota
ott1050325,Centrochelys sulcata
ott265491,Homopus areolatus
ott777385,Homopus femoralis
ott464467,Psammobates geometricus
